counter	SMILES (prior)	SMILES (after) round trip:
32	CCCCCOc1cc(NC(=CC[C@H](C(=O)O)O)O)nc2c1c(cc(c2)O)C(=O)O	CCCCCOc1cc(NC(=CCC(C(=O)O)O)O)nc2c1c(cc(c2)O)C(=O)O
33	CCOc1cc2CC=C[C@@H]3c2c(c1O)[C@@H](C)C=C3C	CCOc1cc2CC=CC3c2c(c1O)C(C)C=C3C
34	CCCCC[C@@](c1cccc(c1)CC(=O)O)(c1ccccc1)C(=O)O	CCCCCC(c1cccc(c1)CC(=O)O)(c1ccccc1)C(=O)O
36	CO[C@@H]1C(=C2C(=CC=C([C@H]2c2c1c(C(=O)N)c([nH]2)O)Cl)OC)O	COC1C(=C2C(=CC=C(C2c2c1c(C(=O)N)c([nH]2)O)Cl)OC)O
38	CCCCCC(=O)n1cnc(=O)c(c1NC(=O)[C@]1(O)CC[C@@H](C[C@H]1N)O)CO	CCCCCC(=O)n1cnc(=O)c(c1NC(=O)C1(O)CCC(CC1N)O)CO
39	NC[C@H](N(Cc1cccc(c1CCC(=O)O)O)CCCC(=O)O)C	NCC(N(Cc1cccc(c1CCC(=O)O)O)CCCC(=O)O)C
40	OCCC1=CC[C@@H]2C(=CCc3c2cc(OC)cc3)C1	OCCC1=CCC2C(=CCc3c2cc(OC)cc3)C1
46	Cc1ccc(cc1)CCO[C@H]1C=CCc2c1c(ccc2O)OC(=C)C(=O)O	Cc1ccc(cc1)CCOC1C=CCc2c1c(ccc2O)OC(=C)C(=O)O
47	COC1=CC2=CCc3c([C@H]2C=C1)ccc(c3CCC(=O)NC(=N)N)C(=O)OC(=O)CC(=O)C(=O)O	COC1=CC2=CCc3c(C2C=C1)ccc(c3CCC(=O)NC(=N)N)C(=O)OC(=O)CC(=O)C(=O)O
48	C/C=C\Cc1c[nH]c(c1C(=O)C(=O)[C@@H](C(=O)O)Cc1ccc(cc1F)F)O	CC=CCc1c[nH]c(c1C(=O)C(=O)C(C(=O)O)Cc1ccc(cc1F)F)O
50	CCCC[C@@H](CNC1=C(COc2ccccc2C(=O)O)C(=COC)CC=C1)O	CCCCC(CNC1=C(COc2ccccc2C(=O)O)C(=COC)CC=C1)O
51	OCCNC(=O)/C(=C\OCC)/[C@@H](Cc1cc(Cc2ccccc2)c(cc1Cl)O)OC	OCCNC(=O)C(=COCC)C(Cc1cc(Cc2ccccc2)c(cc1Cl)O)OC
53	CCNc1c(cc2c(c1C)[C@@H](OC)C=CC2)CC(OP(=O)(O)O)(C)C	CCNc1c(cc2c(c1C)C(OC)C=CC2)CC(OP(=O)(O)O)(C)C
54	OC(=O)[C@@H](C(=O)c1cc2c(cc1C(=O)O)oc1c2cc(C(=O)O)c(c1)O)N	OC(=O)C(C(=O)c1cc2c(cc1C(=O)O)oc1c2cc(C(=O)O)c(c1)O)N
58	C=C[C@@H](c1cccc2c1cccc2C(=O)O)CC(O)(C)C	C=CC(c1cccc2c1cccc2C(=O)O)CC(O)(C)C
61	CCO[C@H](C[C@H](c1ccc(nc1)c1cc([nH]c1O)C(=O)O)OC)C	CCOC(CC(c1ccc(nc1)c1cc([nH]c1O)C(=O)O)OC)C
62	OC(=O)CCC(=O)N(c1cc[nH]c1)C(=CN/C=C\C(=O)O)C	OC(=O)CCC(=O)N(c1cc[nH]c1)C(=CNC=CC(=O)O)C
66	C=CC(=O)OC(=O)Nc1ccnc(c1O)[C@H](C[C@H](c1cc(F)c(c(c1CC)O)Cl)O)O	C=CC(=O)OC(=O)Nc1ccnc(c1O)C(CC(c1cc(F)c(c(c1CC)O)Cl)O)O
67	O[C@@H]1C=Cc2c(C1)c1CC=C([C@H](c1c1c2cco1)Oc1c(F)c(O)c2c(c1Cl)cccc2)C	OC1C=Cc2c(C1)c1CC=C(C(c1c1c2cco1)Oc1c(F)c(O)c2c(c1Cl)cccc2)C
68	CO[C@@H]1C=C[C@@H](c2c1c(C(=O)N[C@H](c1ccccc1)C(=O)O)c(cc2C)c1cccc(c1)C(=O)O)C	COC1C=CC(c2c1c(C(=O)NC(c1ccccc1)C(=O)O)c(cc2C)c1cccc(c1)C(=O)O)C
69	ClC1=CC=C[C@@H]2C1=C(Cc1c2cc([nH]1)C(=O)O)c1ccccc1C(=O)O	ClC1=CC=CC2C1=C(Cc1c2cc([nH]1)C(=O)O)c1ccccc1C(=O)O
70	OC(=O)CC(=O)c1cc(Cl)c2c(c1)ccc(c2COC(=O)C[C@H](c1ccco1)O)S(=O)(=O)N	OC(=O)CC(=O)c1cc(Cl)c2c(c1)ccc(c2COC(=O)CC(c1ccco1)O)S(=O)(=O)N
71	CC(=O)NC(=O)c1c(Cl)c(N/C=N\C(=C)CC(=O)O)c(c(c1OC(=O)CC(=O)C)O)C	CC(=O)NC(=O)c1c(Cl)c(NC=NC(=C)CC(=O)O)c(c(c1OC(=O)CC(=O)C)O)C
72	OC(=O)CCCNC(=O)C1=C(O)C(=O)C(=C(/C=C/CC(=O)O)O)CC1=O	OC(=O)CCCNC(=O)C1=C(O)C(=O)C(=C(C=CCC(=O)O)O)CC1=O
73	CCc1ccc(cc1[C@H](C(=CCc1ccc(c2c1cccc2)C(=O)O)C(=O)O)N)O	CCc1ccc(cc1C(C(=CCc1ccc(c2c1cccc2)C(=O)O)C(=O)O)N)O
76	OC[C@H](c1cccc(c1[C@@H](NCC(=O)O)C)O)C#N	OCC(c1cccc(c1C(NCC(=O)O)C)O)C#N
77	C/C=C/[C@H](NCC(=O)O)CCOc1ccc(c2c1cccc2)O	CC=CC(NCC(=O)O)CCOc1ccc(c2c1cccc2)O
78	CCOC(=O)c1c(O)ccc(c1[C@H](C(=O)Nc1cc(n(c1O)C)O)N)c1ccccc1	CCOC(=O)c1c(O)ccc(c1C(C(=O)Nc1cc(n(c1O)C)O)N)c1ccccc1
84	N#C[C@](c1cc(O)cc(c1)O)(C(=O)O)C=C(C(=O)O)C	N#CC(c1cc(O)cc(c1)O)(C(=O)O)C=C(C(=O)O)C
85	OC(=O)C=C(C(=O)OC(=O)Nc1ccc(cc1)C)/C=C\c1ccccc1CCC(=O)O	OC(=O)C=C(C(=O)OC(=O)Nc1ccc(cc1)C)C=Cc1ccccc1CCC(=O)O
86	COCCCC(=O)CN[C@H](C(=O)O)/C=C\C(=CC(=O)O)C	COCCCC(=O)CNC(C(=O)O)C=CC(=CC(=O)O)C
89	C[C@@H]([C@@H](CCC=O)F)Nc1cc2[nH]c(cc2c2c1CC=CC2)O	CC(C(CCC=O)F)Nc1cc2[nH]c(cc2c2c1CC=CC2)O
91	CCc1cc(Cl)ccc1C(=CC(=O)NNS(=O)(=O)O)/N=C(/Nc1ccc(c(c1)C)OC)\O	CCc1cc(Cl)ccc1C(=CC(=O)NNS(=O)(=O)O)N=C(Nc1ccc(c(c1)C)OC)O
92	C=CCc1c(N)ccc2c1c(cc(c2)C(=O)O)[C@H](c1cccc(c1)C(O)(C)C)CC(=O)O	C=CCc1c(N)ccc2c1c(cc(c2)C(=O)O)C(c1cccc(c1)C(O)(C)C)CC(=O)O
93	CCC[C@H](CCC(=O)OC(=O)c1cc(CC)cc(c1)C(=Cc1[nH]cc(c1)O)F)O	CCCC(CCC(=O)OC(=O)c1cc(CC)cc(c1)C(=Cc1[nH]cc(c1)O)F)O
97	CCO/C=C(\C(=O)O)/C[C@@H](C1=CCc2c(C1)cc(O)cc2)C(=O)O	CCOC=C(C(=O)O)CC(C1=CCc2c(C1)cc(O)cc2)C(=O)O
98	COc1cccc2c1ccc(c2)C/C=C\[C@H]([C@H](CC(=O)O)O)O	COc1cccc2c1ccc(c2)CC=CC(C(CC(=O)O)O)O
99	CCCc1nnc(o1)[C@@H](n1c(O)ccc1CC)C(=NOC(=O)c1ccc(cc1)OC)O	CCCc1nnc(o1)C(n1c(O)ccc1CC)C(=NOC(=O)c1ccc(cc1)OC)O
102	O=CNC1=CC(=O)c2c([C@@H]1F)ccc(c2)C(=O)O	O=CNC1=CC(=O)c2c(C1F)ccc(c2)C(=O)O
103	CNCC[C@H]([C@H](c1cccnc1O)CC)CCCC#N	CNCCC(C(c1cccnc1O)CC)CCCC#N
105	C/C=C/CNCC(=O)OC(=O)/C=C(/[C@H](C(=O)CC(=O)O)N)\Nc1cccc(c1Cl)C[n+]1cc[nH]c1	CC=CCNCC(=O)OC(=O)C=C(C(C(=O)CC(=O)O)N)Nc1cccc(c1Cl)C[n+]1cc[nH]c1
106	CO[C@@H]1C=C(Cc2c1coc2c1cc(OC)c2c(c1)c1ccc(cc1cc2O)O)C(=O)O	COC1C=C(Cc2c1coc2c1cc(OC)c2c(c1)c1ccc(cc1cc2O)O)C(=O)O
107	CCCOC(=O)N[C@H]1C=CCc2c1c(CCO)cc(c2)/C=[N+](\c1ccccc1OCC)/[O-]	CCCOC(=O)NC1C=CCc2c1c(CCO)cc(c2)C=N(=O)c1ccccc1OCC
108	N#CCC=C(C(=O)c1cc(O)nc(c1Oc1cccc(c1)CC)O)[N+](=O)[O-]	N#CCC=C(C(=O)c1cc(O)nc(c1Oc1cccc(c1)CC)O)N(=O)=O
109	CCC(=O)NC(=NO)NC/C=C\[C@@H](C(=CC)C(=O)O)c1cccc(c1)O	CCC(=O)NC(=NO)NCC=CC(C(=CC)C(=O)O)c1cccc(c1)O
110	COC(=O)[C@@H](c1ccc2c(c1C(=O)O)c(C(=O)O)c(nc2C(=O)O)O)C(=O)O	COC(=O)C(c1ccc2c(c1C(=O)O)c(C(=O)O)c(nc2C(=O)O)O)C(=O)O
111	CCCC[C@@H](CC(=O)OC(=O)Cc1ccc(cc1)C(=O)O)O	CCCCC(CC(=O)OC(=O)Cc1ccc(cc1)C(=O)O)O
112	CC[C@H](C[C@H](C(=O)O)NC(=O)[C@@H](C(C)C)OC)C	CCC(CC(C(=O)O)NC(=O)C(C(C)C)OC)C
113	COCc1cc(ccc1C(=O)O)/C(=C/C)/Cc1cccc(c1C)O	COCc1cc(ccc1C(=O)O)C(=CC)Cc1cccc(c1C)O
114	C/C=C(/C(=O)O)\Cc1cc(ccc1OC)C(=O)NC(=O)C(C(=O)O)C(=O)O	CC=C(C(=O)O)Cc1cc(ccc1OC)C(=O)NC(=O)C(C(=O)O)C(=O)O
117	N#C[C@H](c1ccc(c2c1ccc(c2)O)CC(=O)O)c1cc(C)c2c(c1)ccc(c2C(=O)O)N(C)C	N#CC(c1ccc(c2c1ccc(c2)O)CC(=O)O)c1cc(C)c2c(c1)ccc(c2C(=O)O)N(C)C
118	CC1=CC2=C(C)Cc3c([C@H]2C(=C1)C(=O)O)c(O)cc(c3)C(=O)O	CC1=CC2=C(C)Cc3c(C2C(=C1)C(=O)O)c(O)cc(c3)C(=O)O
119	NC(=O)NC(=O)[C@H](c1c(ccc2c1COC2)Cc1c2ccccc2cc2c1cccc2)C(=O)O	NC(=O)NC(=O)C(c1c(ccc2c1COC2)Cc1c2ccccc2cc2c1cccc2)C(=O)O
120	C=C[C@](c1ccccc1)(CCOc1cc(CC(=O)O)c2c(c1)Cc1c(C2)cccc1)O	C=CC(c1ccccc1)(CCOc1cc(CC(=O)O)c2c(c1)Cc1c(C2)cccc1)O
122	N#C[C@@H]1[C@H](O)CC[C@H]([C@H]1c1cc(O)c2c(c1)cc(n2C)O)O	N#CC1C(O)CCC(C1c1cc(O)c2c(c1)cc(n2C)O)O
125	COc1cc2ccc(cc2c(c1S(=O)(=O)C)CC(=O)[C@H](S(=O)(=O)N)N)C(C)(C)C	COc1cc2ccc(cc2c(c1S(=O)(=O)C)CC(=O)C(S(=O)(=O)N)N)C(C)(C)C
126	CC(=N)Nc1cc(ccc1C(=O)O)c1[nH]c(c2c1[C@H](F)c1c(C2=O)cc(c2c1ccc(c2)C)O)O	CC(=N)Nc1cc(ccc1C(=O)O)c1[nH]c(c2c1C(F)c1c(C2=O)cc(c2c1ccc(c2)C)O)O
129	OCC1=C[C@@H](c2c3c1cc(C(C)C)c(c3c(cc2)OC)OC)n1cccc1O	OCC1=CC(c2c3c1cc(C(C)C)c(c3c(cc2)OC)OC)n1cccc1O
130	COCC(=O)c1ccc2c(c1)c(C)c1c(c2c2cccnc2CO)CC=C[C@@H]1C(=O)O	COCC(=O)c1ccc2c(c1)c(C)c1c(c2c2cccnc2CO)CC=CC1C(=O)O
132	Cc1cccc(c1)N([C@H]1C(=C[C@@H](c2c1cccc2)O)O)C	Cc1cccc(c1)N(C1C(=CC(c2c1cccc2)O)O)C
133	CC/C=C/Cc1c2cc(ccc2c(c2c1cc(O)cc2)OC)C(=Cc1ccc[nH]1)C(=O)O	CCC=CCc1c2cc(ccc2c(c2c1cc(O)cc2)OC)C(=Cc1ccc[nH]1)C(=O)O
134	C/C=C(\[C@@H](c1ccc(c(c1)NC(=O)CC(=O)O)Cl)[C@@H](CC(=O)O)O)/C(=O)C	CC=C(C(c1ccc(c(c1)NC(=O)CC(=O)O)Cl)C(CC(=O)O)O)C(=O)C
135	NC[C@@H](CC(=CC(=C1CC(=O)[C@@H](C(=C1)C)O)C(=c1cc(ccc1=C)C(=O)O)O)C(=O)O)C	NCC(CC(=CC(=C1CC(=O)C(C(=C1)C)O)C(=c1cc(ccc1=C)C(=O)O)O)C(=O)O)C
137	CCC[C@H](c1c(C(=O)O)c(O)cc2c1cc(o2)CC)O	CCCC(c1c(C(=O)O)c(O)cc2c1cc(o2)CC)O
139	CCCCOc1c([C@H](O)C)c(CC)c(c2c1cc(cc2O)C(=O)O)CC(=O)O	CCCCOc1c(C(O)C)c(CC)c(c2c1cc(cc2O)C(=O)O)CC(=O)O
140	OC(=O)CC1=C(OCC(=O)O)[C@H](c2c(C1)c(ccc2)[N+](=O)[O-])C	OC(=O)CC1=C(OCC(=O)O)C(c2c(C1)c(ccc2)N(=O)=O)C
142	OCc1c(O)[nH]c2c1c(cn2C)[C@]1(O)C=CCC[C@H]1O	OCc1c(O)[nH]c2c1c(cn2C)C1(O)C=CCCC1O
143	C/C=C(/C(=O)O)\Cc1ccc(c2c1[C@H](O)C=C[C@H]2OC)CC(=O)O	CC=C(C(=O)O)Cc1ccc(c2c1C(O)C=CC2OC)CC(=O)O
145	COC(=O)c1cc(cc(c1)C(=O)O)/C=C(\c1cnccn1)/O	COC(=O)c1cc(cc(c1)C(=O)O)C=C(c1cnccn1)O
146	CCCC[C@](C(=C/C=C\c1ccccc1)CCC(=O)O)(CC)O	CCCCC(C(=CC=Cc1ccccc1)CCC(=O)O)(CC)O
148	C/C=[N+](\[C@@H](c1ccc2c(c1)[C@H]1CC=CCC1=C([C@H]2C[C@H](O)N)O)O)/[O-]	CC=N(=O)C(c1ccc2c(c1)C1CC=CCC1=C(C2CC(O)N)O)O
149	OC(=O)Cc1ccc2c(c1)[C@H]1C(=CC=C(C1=C(C2)C)Cl)F	OC(=O)Cc1ccc2c(c1)C1C(=CC=C(C1=C(C2)C)Cl)F
151	CCc1cc2CC=CCc2c(c1O)C(=O)OC(=O)CCC(=C)/C=C(\c1ccc(cc1)C)/O	CCc1cc2CC=CCc2c(c1O)C(=O)OC(=O)CCC(=C)C=C(c1ccc(cc1)C)O
153	CCCCOC1=C[C@@H](c2cccc(c2)C(=O)O)[C@@H](C(=C1C(=O)O)O)CCCC	CCCCOC1=CC(c2cccc(c2)C(=O)O)C(C(=C1C(=O)O)O)CCCC
154	C=CC[C@H](CCNCc1ccc(c(c1)OC)CC(=O)O)N	C=CCC(CCNCc1ccc(c(c1)OC)CC(=O)O)N
155	O=C(N[C@H]1C=CCc2c1c(O)nc(c2C)O)/C=C/C(=Cc1cccc(n1)O)C	O=C(NC1C=CCc2c1c(O)nc(c2C)O)C=CC(=Cc1cccc(n1)O)C
156	Oc1cc([C@@H](/C=C/2\CC=CC=C2)O)c2c(c1)cccc2	Oc1cc(C(C=C2CC=CC=C2)O)c2c(c1)cccc2
157	OC(=O)CCc1cc(O)c(c(c1)C(=O)O)[C@](C(=O)NC(=C)O)(C(=O)O)O	OC(=O)CCc1cc(O)c(c(c1)C(=O)O)C(C(=O)NC(=C)O)(C(=O)O)O
159	OC(=O)c1cccc(c1)c1ccc(c2c1[C@H](c1c(C2)cccc1)c1cccc2c1csc2)C	OC(=O)c1cccc(c1)c1ccc(c2c1C(c1c(C2)cccc1)c1cccc2c1csc2)C
160	OC(=O)CCc1c(c(CC(=O)O)cc(c1O)C(=O)O)[C@H]1C=CC=C2C1=CCCC2	OC(=O)CCc1c(c(CC(=O)O)cc(c1O)C(=O)O)C1C=CC=C2C1=CCCC2
161	CCC(=O)Nc1c(C(=O)N(/C=C\2/C=CC=C(C2=O)C(=O)O)CC(C)C)c(cc(c1O)O)C(C)(C)C	CCC(=O)Nc1c(C(=O)N(C=C2C=CC=C(C2=O)C(=O)O)CC(C)C)c(cc(c1O)O)C(C)(C)C
162	CCO/N=C(\C(=O)OC(=O)C)/C=C\C(=CC(=O)O)C	CCON=C(C(=O)OC(=O)C)C=CC(=CC(=O)O)C
163	COc1cc2cc(Br)c(c(c2c(c1)C(=O)C/C=C(\N=C/1\CC(=O)C=CC1=O)/O)C)C(C)C	COc1cc2cc(Br)c(c(c2c(c1)C(=O)CC=C(N=C1CC(=O)C=CC1=O)O)C)C(C)C
164	CCCCOC[C@H](c1nc(N)c2c(c1CC)c(OCCC(C)C)c(cc2O)O)OC	CCCCOCC(c1nc(N)c2c(c1CC)c(OCCC(C)C)c(cc2O)O)OC
165	C/C(=C\C(C)(C)C)/C=C\c1ccc(cc1)Oc1ccccc1CC(=O)O	CC(=CC(C)(C)C)C=Cc1ccc(cc1)Oc1ccccc1CC(=O)O
166	CC[C@H](c1c(Cl)cc2c(c1C/N=C/O)CC=C[C@H]2C)/N=C/N	CCC(c1c(Cl)cc2c(c1CN=CO)CC=CC2C)N=CN
167	CCc1c(CC)cc2c(c1CC(=O)CC(=O)NC(=O)CC(=O)O)c1[C@H](O)C=C[C@@H](c1cc2)C	CCc1c(CC)cc2c(c1CC(=O)CC(=O)NC(=O)CC(=O)O)c1C(O)C=CC(c1cc2)C
169	CCc1c(cccc1C1CCCCC1)NC(=O)[C@H](c1coc(c1)CC)O	CCc1c(cccc1C1CCCCC1)NC(=O)C(c1coc(c1)CC)O
170	CCCCOC(=O)c1cccc(c1OC)[C@@]([C@H](CCC#N)O)(C(=O)O)Cc1cc(C)ccc1Cl	CCCCOC(=O)c1cccc(c1OC)C(C(CCC#N)O)(C(=O)O)Cc1cc(C)ccc1Cl
172	OCc1c(OC)cc2c(c1c1ccccc1)cc1c(c2N)cc2c(c1C)[C@H]1CCCCC1=CC2	OCc1c(OC)cc2c(c1c1ccccc1)cc1c(c2N)cc2c(c1C)C1CCCCC1=CC2
175	COC1=C[C@H](CC=C1)c1c(NC)[nH]c2c1cc(cc2)[C@@H](C(C)C)C	COC1=CC(CC=C1)c1c(NC)[nH]c2c1cc(cc2)C(C(C)C)C
179	ONC(=O)CCOC(=O)C(=Cc1cccc(c1)Cl)/C=C/C(=O)O	ONC(=O)CCOC(=O)C(=Cc1cccc(c1)Cl)C=CC(=O)O
183	COC1=C2[C@@H](C=C[C@@H]([C@@H]2c2c([C@H]1O)cncn2)C(C)(C)C)COc1ccccc1C(=O)O	COC1=C2C(C=CC(C2c2c(C1O)cncn2)C(C)(C)C)COc1ccccc1C(=O)O
184	N[C@H](C(=O)O)Cc1cc(F)c2c(c1)c1c(o2)ccc2c1cco2	NC(C(=O)O)Cc1cc(F)c2c(c1)c1c(o2)ccc2c1cco2
185	CCCC[C@](c1cc(O)c2c(c1)cc(cn2)O)(c1cc(O)cc(n1)Cl)O	CCCCC(c1cc(O)c2c(c1)cc(cn2)O)(c1cc(O)cc(n1)Cl)O
186	NCCOC(=O)C1=C[C@@H](C[C@@H]2[C@H](O)C[C@@H](c3c2c(C)ccc3)OC)C(=O)C(=C1)C(=O)O	NCCOC(=O)C1=CC(CC2C(O)CC(c3c2c(C)ccc3)OC)C(=O)C(=C1)C(=O)O
187	ONC(=O)CNC(=O)c1c(O)cc(cc1C(=O)C[C@@H](c1c(C=O)cc2c(c1Br)cc[nH]2)C(=O)O)O	ONC(=O)CNC(=O)c1c(O)cc(cc1C(=O)CC(c1c(C=O)cc2c(c1Br)cc[nH]2)C(=O)O)O
188	CC/C=C(/C(=C[C@H](c1cc(C=O)ccc1O)/C=C(/OC)\C)OC)\C(=O)O	CCC=C(C(=CC(c1cc(C=O)ccc1O)C=C(OC)C)OC)C(=O)O
189	CCC[C@@](CCc1cc[nH]c1CC)(CCCCC(=O)O)O	CCCC(CCc1cc[nH]c1CC)(CCCCC(=O)O)O
190	O=C(OC(=O)c1c(O)cccc1CCC(=O)O)CCC(=C/C=C/C(=O)O)O	O=C(OC(=O)c1c(O)cccc1CCC(=O)O)CCC(=CC=CC(=O)O)O
191	CC(C[C@@H]1C=C(O)Nc2c1cc1c(c2)[C@H](C)c2c([C@@H]1O)c(cc(c2O)C)C(=O)O)C	CC(CC1C=C(O)Nc2c1cc1c(c2)C(C)c2c(C1O)c(cc(c2O)C)C(=O)O)C
192	COC1=C[C@@H](c2cccc(c2)O)c2c(C1)c(ccc2)C(=O)O	COC1=CC(c2cccc(c2)O)c2c(C1)c(ccc2)C(=O)O
193	CCCc1cc(cn1[C@@H](COCCc1ccccc1C(=O)O)CC)Br	CCCc1cc(cn1C(COCCc1ccccc1C(=O)O)CC)Br
194	OCC[C@](CCc1cc2cc(cc(c2cc1CCOC(=O)N)O)C(=O)O)(CCC(=O)O)O	OCCC(CCc1cc2cc(cc(c2cc1CCOC(=O)N)O)C(=O)O)(CCC(=O)O)O
195	CCCOC(=O)[C@@H](c1cccc2c1ccc1c2cc(cc1)O)C#N	CCCOC(=O)C(c1cccc2c1ccc1c2cc(cc1)O)C#N
197	COC(=O)Cc1c(O)c(O)c2c3c1ccc(c3C(=C[C@@H]2O)C/C(=C/[C@@H](C(=O)O)NC(=O)C)/C(=O)O)O	COC(=O)Cc1c(O)c(O)c2c3c1ccc(c3C(=CC2O)CC(=CC(C(=O)O)NC(=O)C)C(=O)O)O
201	O=C1C=CC(=O)C(=C1)NS(=O)(=O)[C@H](CNc1ccccc1O)O	O=C1C=CC(=O)C(=C1)NS(=O)(=O)C(CNc1ccccc1O)O
202	OC(=O)[C@H](CCC(=Cc1cccc(c1[C@H](Nc1cccc(c1)O)O)O)C(=O)O)O	OC(=O)C(CCC(=Cc1cccc(c1C(Nc1cccc(c1)O)O)O)C(=O)O)O
203	NC1=N[C@H](c2c(N1)ccc(c2)[C@@H]1C=CC=CC1=C(Cn1cnc(c1)O)F)O	NC1=NC(c2c(N1)ccc(c2)C1C=CC=CC1=C(Cn1cnc(c1)O)F)O
204	CN[C@H](c1cc(O)nc(c1c1[nH]c(cc1O)C(=Cc1ccc([nH]1)C(=O)O)O)O)C	CNC(c1cc(O)nc(c1c1[nH]c(cc1O)C(=Cc1ccc([nH]1)C(=O)O)O)O)C
205	N#CN(C1=CC=CC2=CCc3c([C@@H]12)c(O)nc1c3c(OC)ccc1C)/C=C\C(=O)O	N#CN(C1=CC=CC2=CCc3c(C12)c(O)nc1c3c(OC)ccc1C)C=CC(=O)O
206	CNC(=O)Nc1c(ccc(c1OCC(=O)N(C(=O)NC)C)CC)[C@@H](CCC(=O)O)O	CNC(=O)Nc1c(ccc(c1OCC(=O)N(C(=O)NC)C)CC)C(CCC(=O)O)O
