counter	SMILES (prior)	SMILES (after) round trip:
43	Oc1nc(O)cc(c1)N(c1cccc2c1cc1ccc3c(c1c2)nc1c(c3O)cccc1)C	Oc1nc(O)cc(c1)N(c1cccc2c1cc1ccc3c(c1c2)nc1c(c3O)cccc1)C
44	COCC(=C(C(=O)O)NCC)N(S(=O)(=O)O)c1ccc(cc1)NS(=O)(=O)O	COCC(=C(C(=O)O)NCC)N(S(=O)(=O)O)c1ccc(cc1)NS(=O)(=O)O
45	OCCC(c1c(Oc2ccc3c(c2)cccc3)c(CC)c(c2c1cccc2)CC)(C)C	OCCC(c1c(Oc2ccc3c(c2)cccc3)c(CC)c(c2c1cccc2)CC)(C)C
49	OC(=O)Cc1cc2[nH]ccc2c(c1O)C(=C)c1[nH]c2c(c1)ccc(c2C(=O)O)O	OC(=O)Cc1cc2[nH]ccc2c(c1O)C(=C)c1[nH]c2c(c1)ccc(c2C(=O)O)O
52	COc1[nH]c(cc1CCC(=O)O)Nc1c(O)cc(cc1c1c(CC(=O)O)cc(c2c1cccc2)O)O	COc1[nH]c(cc1CCC(=O)O)Nc1c(O)cc(cc1c1c(CC(=O)O)cc(c2c1cccc2)O)O
55	FCCc1cc([nH]c1CC)c1c([nH]c(c1C(=O)O)O)c1ccccc1Cl	FCCc1cc([nH]c1CC)c1c([nH]c(c1C(=O)O)O)c1ccccc1Cl
56	O=CCC(=O)NC(=O)c1c(O)cc(c2c1cc(C(=O)O)c1c2[nH]cc1)OC	O=CCC(=O)NC(=O)c1c(O)cc(c2c1cc(C(=O)O)c1c2[nH]cc1)OC
57	COc1cc(C(=O)O)c2c(c1)c(C)cc(c2Cl)CCC(=O)O	COc1cc(C(=O)O)c2c(c1)c(C)cc(c2Cl)CCC(=O)O
59	COc1cc(C)c2c(c1)c(CCC(=O)O)cc1c2c(=O)c(C(=O)c2c(C)cccc2O)c(n1C)C	COc1cc(C)c2c(c1)c(CCC(=O)O)cc1c2c(=O)c(C(=O)c2c(C)cccc2O)c(n1C)C
60	C=CCc1[nH]c(cc1COC(=O)CNc1ccc(cc1C)OC)C(=O)N=C(OC)CC	C=CCc1[nH]c(cc1COC(=O)CNc1ccc(cc1C)OC)C(=O)N=C(OC)CC
63	CCc1cc2[nH]c(cc2c2c1c(cc(c2)O)C(=O)O)C	CCc1cc2[nH]c(cc2c2c1c(cc(c2)O)C(=O)O)C
64	CCCCC(c1ccc(c(c1)C(=O)OC)c1cc([nH]c1N)O)(C)C	CCCCC(c1ccc(c(c1)C(=O)OC)c1cc([nH]c1N)O)(C)C
65	CCc1ccc2c(c1)c(C(=O)O)c(cc2)C(=O)N(C(=O)NC(=O)C)C(=O)CC(=O)O	CCc1ccc2c(c1)c(C(=O)O)c(cc2)C(=O)N(C(=O)NC(=O)C)C(=O)CC(=O)O
74	Oc1cc(O)c2c(c1)c1cc3c(c(c1o2)O)c(O)nc(c3C(C)(C)C)N	Oc1cc(O)c2c(c1)c1cc3c(c(c1o2)O)c(O)nc(c3C(C)(C)C)N
75	Oc1ccc(cc1)NC(=O)c1[nH]ccc1C(C)(C)C	Oc1ccc(cc1)NC(=O)c1[nH]ccc1C(C)(C)C
79	COCc1ccc2c(c1c1cc(C)c(c(c1)C(=O)O)OC)c1CC=C(Cc1cc2)OC	COCc1ccc2c(c1c1cc(C)c(c(c1)C(=O)O)OC)c1CC=C(Cc1cc2)OC
80	O=C(NS(=O)(=O)CC(=O)OC(=O)Nc1ccccc1O)CC(=O)O	O=C(NS(=O)(=O)CC(=O)OC(=O)Nc1ccccc1O)CC(=O)O
81	COc1nc2C=CCc3c2c(c1c1ccc2c(c1)ccs2)c(C=O)cc3	COc1nc2C=CCc3c2c(c1c1ccc2c(c1)ccs2)c(C=O)cc3
82	OC(=O)CCc1cc(cc(c1COS(=O)(=O)N)Cl)C(=O)O	OC(=O)CCc1cc(cc(c1COS(=O)(=O)N)Cl)C(=O)O
83	NC(=O)NC(=O)c1cc(c2c(c1C(=O)O)ccc(c2NC(=O)C)F)C(C(=O)O)(C)C	NC(=O)NC(=O)c1cc(c2c(c1C(=O)O)ccc(c2NC(=O)C)F)C(C(=O)O)(C)C
87	CCNc1ccnc(c1)Cc1cccc(c1)C(=O)O	CCNc1ccnc(c1)Cc1cccc(c1)C(=O)O
88	O=C(OC(=O)c1cc(C)cc(c1)O)CCc1cccc2c1c(C)cc(c2)O	O=C(OC(=O)c1cc(C)cc(c1)O)CCc1cccc2c1c(C)cc(c2)O
90	COC(=CNC(=O)c1ccc2c(c1)cc(cc2F)OC)C(=C(C(=O)O)CC=C(NC)O)NS(=O)(=O)C	COC(=CNC(=O)c1ccc2c(c1)cc(cc2F)OC)C(=C(C(=O)O)CC=C(NC)O)NS(=O)(=O)C
94	CCCOc1cc(C(=O)O)c2c(c1C(=O)NC(=O)c1ccc([nH]1)C)c(O)c(cc2OC)Cl	CCCOc1cc(C(=O)O)c2c(c1C(=O)NC(=O)c1ccc([nH]1)C)c(O)c(cc2OC)Cl
95	OCCCCOc1c(O)ccc(c1S(=O)(=O)c1ccccc1)C(=O)O	OCCCCOc1c(O)ccc(c1S(=O)(=O)c1ccccc1)C(=O)O
96	Clc1ccc(c(c1)Cl)COC(=O)c1cc2c(O)cc(cc2cc1O)O	Clc1ccc(c(c1)Cl)COC(=O)c1cc2c(O)cc(cc2cc1O)O
100	OCCc1c(Cn2ccc(c2)Cl)cc2c(c1C(=O)O)cc(c(c2O)O)CCC	OCCc1c(Cn2ccc(c2)Cl)cc2c(c1C(=O)O)cc(c(c2O)O)CCC
101	OC(=CC(=O)Oc1c[nH]c2c1CCCC2)Nc1ccncc1	OC(=CC(=O)Oc1c[nH]c2c1CCCC2)Nc1ccncc1
104	CCCc1ccc2c(c1CC(=O)O)c1c(o2)cc(c2c1cc(cc2)CC(=O)O)O	CCCc1ccc2c(c1CC(=O)O)c1c(o2)cc(c2c1cc(cc2)CC(=O)O)O
115	OCCN(c1cccc(c1O)C)c1ccc(c(c1)C)CCO	OCCN(c1cccc(c1O)C)c1ccc(c(c1)C)CCO
116	Clc1cn(c(c1)C)c1[nH]c2c(c1C)ccc(c2c1ccccc1C(=O)O)C(=O)O	Clc1cn(c(c1)C)c1[nH]c2c(c1C)ccc(c2c1ccccc1C(=O)O)C(=O)O
121	CCCCc1ccc2n1c(c([nH]2)NC(=O)c1ccccc1C(=O)O)c1c[nH]nc1CO	CCCCc1ccc2n1c(c([nH]2)NC(=O)c1ccccc1C(=O)O)c1c[nH]nc1CO
123	C=CNc1cc(Cl)cc(c1F)Cc1cc(ncc1O)c1cccc(c1)CCC(=O)O	C=CNc1cc(Cl)cc(c1F)Cc1cc(ncc1O)c1cccc(c1)CCC(=O)O
124	Oc1ccc2c(c1)c(c1c(c2)ccc(c1)C(=O)O)S(=O)(=O)O	Oc1ccc2c(c1)c(c1c(c2)ccc(c1)C(=O)O)S(=O)(=O)O
127	OC(=O)c1ccc2c(c1)cc1c(c2)cc(cc1)c1c(C)n(c2c1c(O)ccc2)C	OC(=O)c1ccc2c(c1)cc1c(c2)cc(cc1)c1c(C)n(c2c1c(O)ccc2)C
128	Clc1cc(Cl)c(c(c1)Cl)c1ccc2c(c1)c(F)ccc2Cl	Clc1cc(Cl)c(c(c1)Cl)c1ccc2c(c1)c(F)ccc2Cl
131	CNC(=O)c1cc(cc2c1c(O)ncc2C(=O)O)C(=O)CCS(=O)(=O)O	CNC(=O)c1cc(cc2c1c(O)ncc2C(=O)O)C(=O)CCS(=O)(=O)O
136	CCCC(=O)OC(=O)c1c(N(C=O)C)c(O)c(c(c1OC)CCC(=O)O)C(=O)O	CCCC(=O)OC(=O)c1c(N(C=O)C)c(O)c(c(c1OC)CCC(=O)O)C(=O)O
138	O=C(c1ccc(s1)c1ccccc1)CC(=O)OC(=O)C	O=C(c1ccc(s1)c1ccccc1)CC(=O)OC(=O)C
141	ONC(=O)CC(=O)NC(=O)c1c(O)cc(cc1C(=O)CC(=O)O)O	ONC(=O)CC(=O)NC(=O)c1c(O)cc(cc1C(=O)CC(=O)O)O
144	COC(=O)NCc1ccccc1Oc1ccccc1C	COC(=O)NCc1ccccc1Oc1ccccc1C
147	CCCCCCOCCc1cccc(c1CCOC)C(=O)O	CCCCCCOCCc1cccc(c1CCOC)C(=O)O
150	N#Cc1ccc([nH]1)c1c(O)c(CCC(=O)O)cc2c1c1c(cc2)[nH]cc1C(C(=O)O)(C)C	N#Cc1ccc([nH]1)c1c(O)c(CCC(=O)O)cc2c1c1c(cc2)[nH]cc1C(C(=O)O)(C)C
152	CCNc1ccc(c(c1)F)c1cc2cc(O)cc(c2c(c1)C(=O)O)CC=O	CCNc1ccc(c(c1)F)c1cc2cc(O)cc(c2c(c1)C(=O)O)CC=O
158	CCOc1cc(F)ccc1C(=O)NC(=O)c1c(Cl)cc(c2c1cccc2)O	CCOc1cc(F)ccc1C(=O)NC(=O)c1c(Cl)cc(c2c1cccc2)O
168	COc1cc2oc3c(c2cc1O)cc1c(c3)c(F)cc(c1)Oc1cc(F)cnc1OC	COc1cc2oc3c(c2cc1O)cc1c(c3)c(F)cc(c1)Oc1cc(F)cnc1OC
171	COc1ccc(cc1)Oc1c(OC)ccc2c1cc1c(O)ccc(c1c2C)O	COc1ccc(cc1)Oc1c(OC)ccc2c1cc1c(O)ccc(c1c2C)O
173	O=CNc1ccc(c2c1c1cc([nH]c1c(c2NS(=O)(=O)O)O)C(=O)O)O	O=CNc1ccc(c2c1c1cc([nH]c1c(c2NS(=O)(=O)O)O)C(=O)O)O
174	COc1cc(OC)c2c(c1)c(CCC(=O)O)ccc2Cl	COc1cc(OC)c2c(c1)c(CCC(=O)O)ccc2Cl
176	CCC(=CCOCC(=O)NCC(=O)O)C(=C(c1ccccc1)Cl)O	CCC(=CCOCC(=O)NCC(=O)O)C(=C(c1ccccc1)Cl)O
177	NC(=O)CCc1cc(O)cc2c1c(C(=O)O)c(cc2)CC(=O)O	NC(=O)CCc1cc(O)cc2c1c(C(=O)O)c(cc2)CC(=O)O
178	CCc1ccc2c(c1)cc1c(c2C)c(c(cc1)Cl)c1c(C)ccc2c1coc2	CCc1ccc2c(c1)cc1c(c2C)c(c(cc1)Cl)c1c(C)ccc2c1coc2
180	COc1cc2c(cc1C(=O)NC(=O)OC(=O)CCC)cc(c1c2cccc1Cl)OC	COc1cc2c(cc1C(=O)NC(=O)OC(=O)CCC)cc(c1c2cccc1Cl)OC
181	Cc1ccc2c(c1)n(c1ccccc1C)c(c2O)C	Cc1ccc2c(c1)n(c1ccccc1C)c(c2O)C
182	O=C(CC(=O)NC(=O)c1ccccc1)CCC(=O)O	O=C(CC(=O)NC(=O)c1ccccc1)CCC(=O)O
196	CCC(c1cc2cc([nH]c2c(c1c1ccc2c(c1)C(=O)C=C(C2=O)C(=O)O)O)CCC(=O)O)(C)C	CCC(c1cc2cc([nH]c2c(c1c1ccc2c(c1)C(=O)C=C(C2=O)C(=O)O)O)CCC(=O)O)(C)C
198	CCCCOC(=O)c1c2CC(=CCc2cc2c1c1c([nH]2)c(I)cc2c1cccc2Cl)C	CCCCOC(=O)c1c2CC(=CCc2cc2c1c1c([nH]2)c(I)cc2c1cccc2Cl)C
199	OC(=O)CCc1cccc(c1c1c(cc(c2c1oc1c2cccc1)c1ccc(o1)C)C(=O)O)O	OC(=O)CCc1cccc(c1c1c(cc(c2c1oc1c2cccc1)c1ccc(o1)C)C(=O)O)O
200	OC(=O)c1ccc2c(c1)Cc1c(C2)oc(c1C(=O)O)C	OC(=O)c1ccc2c(c1)Cc1c(C2)oc(c1C(=O)O)C
212	Cc1cc2c(cc1Cl)cc(c1c2c(O)nc2c1CCCC2)O	Cc1cc2c(cc1Cl)cc(c1c2c(O)nc2c1CCCC2)O
218	O=C1C=C(C(=O)C=C1S(=O)(=O)c1c(O)ccc2c1cccc2C)C(=O)NS(=O)(=O)C	O=C1C=C(C(=O)C=C1S(=O)(=O)c1c(O)ccc2c1cccc2C)C(=O)NS(=O)(=O)C
221	Oc1ccccc1C(=O)c1cccc2c1cc([nH]2)S(=O)(=O)O	Oc1ccccc1C(=O)c1cccc2c1cc([nH]2)S(=O)(=O)O
223	COCC(c1cc(cc2c1cccc2)C(=Cc1cc2c(o1)cccc2CO)CO)(F)F	COCC(c1cc(cc2c1cccc2)C(=Cc1cc2c(o1)cccc2CO)CO)(F)F
226	OC(=O)c1ccc2c(c1)c1cc(Cl)c(cc1o2)O	OC(=O)c1ccc2c(c1)c1cc(Cl)c(cc1o2)O
228	CCc1coc2c1c1cccc3c1c(c2C(=O)NC(=O)CC(=O)O)CC=C3Cl	CCc1coc2c1c1cccc3c1c(c2C(=O)NC(=O)CC(=O)O)CC=C3Cl
231	COC1=C(O)c2c(CC1=Cc1ccc3c(c1)ccc(c3)O)cc([nH]2)C(=O)O	COC1=C(O)c2c(CC1=Cc1ccc3c(c1)ccc(c3)O)cc([nH]2)C(=O)O
238	CCC(=NC(=O)c1cc(C(=O)OC(=O)C)c(cc1CCc1ccccc1)OC)O	CCC(=NC(=O)c1cc(C(=O)OC(=O)C)c(cc1CCc1ccccc1)OC)O
239	OC(=O)CCN(C(=O)c1ccoc1)Cc1cccc(c1C)c1ccccc1O	OC(=O)CCN(C(=O)c1ccoc1)Cc1cccc(c1C)c1ccccc1O
240	Fc1cccc(c1)c1cnc(n1Cc1c(O)cc(c(c1C(=O)O)O)C(=O)O)C	Fc1cccc(c1)c1cnc(n1Cc1c(O)cc(c(c1C(=O)O)O)C(=O)O)C
241	OCNc1ccc2c3c1ccc(c3CC(=C2)O)CC	OCNc1ccc2c3c1ccc(c3CC(=C2)O)CC
244	Oc1cccc(c1)c1cc(F)c2c(c1)ccc(c2)C(C)(C)C	Oc1cccc(c1)c1cc(F)c2c(c1)ccc(c2)C(C)(C)C
245	COCCCCOc1cc2cccc(c2cc1OC)OC	COCCCCOc1cc2cccc(c2cc1OC)OC
246	Oc1ccc2c(c1)c(c(cc2)c1cccs1)n1cccc1O	Oc1ccc2c(c1)c(c(cc2)c1cccs1)n1cccc1O
247	COc1ccc(cc1)c1cc(c(cc1O)OC)C(C(=O)O)C(=O)O	COc1ccc(cc1)c1cc(c(cc1O)OC)C(C(=O)O)C(=O)O
248	O=CNC(=O)c1cc2c(s1)cc(cc2)C(=O)O	O=CNC(=O)c1cc2c(s1)cc(cc2)C(=O)O
251	N#CNC(=O)c1cc(O)cc2c1c(cnc2C)N=C(O)C	N#CNC(=O)c1cc(O)cc2c1c(cnc2C)N=C(O)C
252	COc1cc2oc(cc2c2c1c1cccc(c1c(c2)C(=O)O)NC)c1ccccc1	COc1cc2oc(cc2c2c1c1cccc(c1c(c2)C(=O)O)NC)c1ccccc1
253	CCCC(=O)NC(=C(c1cc[nH]c1)C)C(=CCC(=O)O)C(=O)CC(=O)N	CCCC(=O)NC(=C(c1cc[nH]c1)C)C(=CCC(=O)O)C(=O)CC(=O)N
256	COc1nc2ccc(c(c2c(c1C(C)(C)C)OCC(=O)O)C(=O)O)Cl	COc1nc2ccc(c(c2c(c1C(C)(C)C)OCC(=O)O)C(=O)O)Cl
260	O=C(NC(=O)c1cccn1C)Cc1ccc2c(c1)cc1c(c2)cccc1	O=C(NC(=O)c1cccn1C)Cc1ccc2c(c1)cc1c(c2)cccc1
262	CCOC(=O)C1=CC(=O)C=C(C1=O)NC(=O)Cc1cccc(c1OC)OCC(=O)N	CCOC(=O)C1=CC(=O)C=C(C1=O)NC(=O)Cc1cccc(c1OC)OCC(=O)N
264	CCCc1c(cnc(c1C(=O)O)O)Sc1cc(F)cc(c1)OCC(=O)O	CCCc1c(cnc(c1C(=O)O)O)Sc1cc(F)cc(c1)OCC(=O)O
269	ClC1=C(c2sc3c(c2)c(O)c(cc3)C(=O)O)c2c3c(C1)cccc3ccc2	ClC1=C(c2sc3c(c2)c(O)c(cc3)C(=O)O)c2c3c(C1)cccc3ccc2
270	COc1cc2cc(c3ccc(c(c3)C(=O)O)C(=O)O)c(c(c2c2c1[nH]c(c2O)O)O)C(=O)O	COc1cc2cc(c3ccc(c(c3)C(=O)O)C(=O)O)c(c(c2c2c1[nH]c(c2O)O)O)C(=O)O
271	N#CCNC(=O)OC(=O)c1ccc(cc1C)C(=O)OC(=O)C	N#CCNC(=O)OC(=O)c1ccc(cc1C)C(=O)OC(=O)C
283	CCc1cc(O)c2c(c1)c(O)c(c(c2)F)CC(=O)O	CCc1cc(O)c2c(c1)c(O)c(c(c2)F)CC(=O)O
285	Oc1ccc2c(c1)cc(c(c2)C(=O)NC(=O)c1ccc(c(c1C)C)O)O	Oc1ccc2c(c1)cc(c(c2)C(=O)NC(=O)c1ccc(c(c1C)C)O)O
287	NCC(=O)NC(=NC(=O)c1cc(ccc1O)OC(=O)c1ccc[nH]1)O	NCC(=O)NC(=NC(=O)c1cc(ccc1O)OC(=O)c1ccc[nH]1)O
288	CCCCCOc1c2ccccc2c(c2c1cccc2C=C)CC(=O)O	CCCCCOc1c2ccccc2c(c2c1cccc2C=C)CC(=O)O
295	CCOc1ccc(c(c1)c1c(C)n(c(c1C=O)CO)c1ccccc1OCc1ccccc1)O	CCOc1ccc(c(c1)c1c(C)n(c(c1C=O)CO)c1ccccc1OCc1ccccc1)O
297	COC(=O)NC(=O)CCCc1oc2c(c1)c(C(=O)O)c(cc2)Cl	COC(=O)NC(=O)CCCc1oc2c(c1)c(C(=O)O)c(cc2)Cl
298	COc1cc(c2ccc(c(c2)Br)NS(=O)(=O)O)c2c(c1Cl)cc(cc2)C(=O)C(=O)O	COc1cc(c2ccc(c(c2)Br)NS(=O)(=O)O)c2c(c1Cl)cc(cc2)C(=O)C(=O)O
299	COc1c(C(C)C)c2C(=CCc3c2c(c1O)cc(c3)C)OCC(O)(C)C	COc1c(C(C)C)c2C(=CCc3c2c(c1O)cc(c3)C)OCC(O)(C)C
302	O=C(C=C(Nc1ccc(cc1Cl)I)O)NCc1c(O)ccc(c1O)NC(=O)O	O=C(C=C(Nc1ccc(cc1Cl)I)O)NCc1c(O)ccc(c1O)NC(=O)O
303	CCCCOc1c(O)nc(c2c1c(O)ccc2NC(=O)Nc1c(Cl)sc2c1cccc2)CC	CCCCOc1c(O)nc(c2c1c(O)ccc2NC(=O)Nc1c(Cl)sc2c1cccc2)CC
309	COc1cc2ccccc2c(c1CCCCC(=O)O)O	COc1cc2ccccc2c(c1CCCCC(=O)O)O
310	OCCc1nc2c(n1c1ccccn1)c(CC(c1cccc(c1C(=O)O)O)(C)C)c(cc2)N	OCCc1nc2c(n1c1ccccn1)c(CC(c1cccc(c1C(=O)O)O)(C)C)c(cc2)N
313	CCCCCOC(=O)c1[nH]c(c(c1)C(=O)c1ccccc1O)CC(c1ccnc(c1)C)(C)C	CCCCCOC(=O)c1[nH]c(c(c1)C(=O)c1ccccc1O)CC(c1ccnc(c1)C)(C)C
319	CCCNC(=O)N(C(=O)c1c(OC)cc2c(c1O)c(CCC)ccc2)C(=O)CCCCNN	CCCNC(=O)N(C(=O)c1c(OC)cc2c(c1O)c(CCC)ccc2)C(=O)CCCCNN
320	CNCC(=O)OCCc1cc(Cl)cc(c1CC=C)O	CNCC(=O)OCCc1cc(Cl)cc(c1CC=C)O
321	Cc1sc2c(c1n1cccc1)cc(c1c2cccc1C(=O)O)O	Cc1sc2c(c1n1cccc1)cc(c1c2cccc1C(=O)O)O
323	O=C(Cc1c(ccc2c1c(C)cc(c2)O)c1[nH]ccc1O)CC(=O)O	O=C(Cc1c(ccc2c1c(C)cc(c2)O)c1[nH]ccc1O)CC(=O)O
324	CCCCCCC(=O)OC(=O)C(=C(NC)O)Cc1c(O)cccc1Cl	CCCCCCC(=O)OC(=O)C(=C(NC)O)Cc1c(O)cccc1Cl
325	CCCC(=O)OCc1cc(O)ccc1c1cccc(c1O)C(=O)N	CCCC(=O)OCc1cc(O)ccc1c1cccc(c1O)C(=O)N
326	CCC(=O)Oc1cc(ccc1C(=O)O)Oc1ccc(c(c1)C(=O)O)C(=O)NO	CCC(=O)Oc1cc(ccc1C(=O)O)Oc1ccc(c(c1)C(=O)O)C(=O)NO
332	CCOc1c(OC)ccc(c1S(=O)(=O)C)NC(C)(C)C	CCOc1c(OC)ccc(c1S(=O)(=O)C)NC(C)(C)C
333	CCNC(=O)OC(=O)CCc1ccccc1OC	CCNC(=O)OC(=O)CCc1ccccc1OC
334	NCc1cc(C)c2c(c1)ccc(c2Cc1ccccc1)O	NCc1cc(C)c2c(c1)ccc(c2Cc1ccccc1)O
338	COc1cc2nc(NC(=O)CCc3ccc(c(c3)Cl)O)nc(c2cc1Cl)O	COc1cc2nc(NC(=O)CCc3ccc(c(c3)Cl)O)nc(c2cc1Cl)O
339	CC(=CC(=O)OCc1cc2cc[nH]c2c2c1CC=CC2)CC(=CC(=O)O)O	CC(=CC(=O)OCc1cc2cc[nH]c2c2c1CC=CC2)CC(=CC(=O)O)O
341	CCc1ccc(c2c1c(cc(c2)C(=O)O)c1n[nH]c2c1c(ccc2)C(=O)O)Cl	CCc1ccc(c2c1c(cc(c2)C(=O)O)c1n[nH]c2c1c(ccc2)C(=O)O)Cl
342	COc1c(O)c2cc3cc(OC)ccc3cc2c2c1c1sc(cc1cc2O)C(=O)O	COc1c(O)c2cc3cc(OC)ccc3cc2c2c1c1sc(cc1cc2O)C(=O)O
343	N#Cc1c[nH]c2c1c1cc(O)ccc1c(c2O)CCC(=O)Nc1occ(n1)O	N#Cc1c[nH]c2c1c1cc(O)ccc1c(c2O)CCC(=O)Nc1occ(n1)O
346	OC(=O)c1ccc2c(c1)cc(c1c2c2ccccc2c2c1c1c(Cl)ccc(c1[nH]2)Cl)C(=O)O	OC(=O)c1ccc2c(c1)cc(c1c2c2ccccc2c2c1c1c(Cl)ccc(c1[nH]2)Cl)C(=O)O
347	CCOc1c2c(cc3c(c2O)c(ccc3)C(=O)O)c(c2c1ccc(c2)N)N	CCOc1c2c(cc3c(c2O)c(ccc3)C(=O)O)c(c2c1ccc(c2)N)N
351	OC(=O)c1cccc2c1c1cccc3c1c(c2)C(=CC3)F	OC(=O)c1cccc2c1c1cccc3c1c(c2)C(=CC3)F
355	COc1ccc2c(c1)c(ccc2)C(=O)OCc1ccccc1Cl	COc1ccc2c(c1)c(ccc2)C(=O)OCc1ccccc1Cl
356	CCOc1ccc(c2c1cccc2)c1cccc2c1c(O)c(cc2)C(=[NH+][O-])O	CCOc1ccc(c2c1cccc2)c1cccc2c1c(O)c(cc2)C(=[NH+][O-])O
357	COC(=O)C=C(c1[nH]c(c(c1c1c[nH]c(c1)O)C)C)CN	COC(=O)C=C(c1[nH]c(c(c1c1c[nH]c(c1)O)C)C)CN
361	OC(=O)c1ccc(cc1)c1cccc2c1c(O)co2	OC(=O)c1ccc(cc1)c1cccc2c1c(O)co2
362	CCc1nc2cc(ccc2c(c1NC(=O)N)C(=O)O)S(=O)(=O)N	CCc1nc2cc(ccc2c(c1NC(=O)N)C(=O)O)S(=O)(=O)N
364	COc1ccc(cc1Nc1c(O)c(O)nc2c1c1CC=CCc1c(c2)CN)OC	COc1ccc(cc1Nc1c(O)c(O)nc2c1c1CC=CCc1c(c2)CN)OC
367	CCCc1cc(N)c2c(c1)c(CC(=O)O)cc(c2CO)C(=O)O	CCCc1cc(N)c2c(c1)c(CC(=O)O)cc(c2CO)C(=O)O
369	OC(=O)Cc1ccc(n1CC(=O)CCC(=O)c1n[nH]c2c1c(Oc1ccccc1C)cc(c2F)Cl)Cl	OC(=O)Cc1ccc(n1CC(=O)CCC(=O)c1n[nH]c2c1c(Oc1ccccc1C)cc(c2F)Cl)Cl
371	OC(=O)CC(=O)NC(=O)c1cccc(c1)c1cc(C)cc(c1)Cl	OC(=O)CC(=O)NC(=O)c1cccc(c1)c1cc(C)cc(c1)Cl
376	COc1c(O)cc(cc1c1c(C(=O)O)c(O)nc2c1c(O)ccc2)C(=O)O	COc1c(O)cc(cc1c1c(C(=O)O)c(O)nc2c1c(O)ccc2)C(=O)O
377	CCCNc1cc(O)c2c3c1CC(=Cc3c(nc2O)O)OC	CCCNc1cc(O)c2c3c1CC(=Cc3c(nc2O)O)OC
383	OC(=O)CC(=O)CC(=O)Oc1c(O)cc(c(c1Cl)C(=O)N)Cl	OC(=O)CC(=O)CC(=O)Oc1c(O)cc(c(c1Cl)C(=O)N)Cl
392	N#Cc1c(CC(=O)OC(=O)C)c(OC(=O)CC(=O)O)c2c(c1O)cc1c(c2)c(O)ccc1C(=O)O	N#Cc1c(CC(=O)OC(=O)C)c(OC(=O)CC(=O)O)c2c(c1O)cc1c(c2)c(O)ccc1C(=O)O
