SMILES (prior)	SMILES (after) round trip:
60	C=CCc1[nH]c(C(=O)N=C(CC)OC)cc1COC(=O)CNc1ccc(OC)cc1C	C=CCc1[nH]c(C(=O)N=C(CC)OC)cc1COC(=O)CNc1ccc(OC)cc1C
63	CCc1cc2[nH]c(C)cc2c2cc(O)cc(C(=O)O)c12	CCc1cc2[nH]c(C)cc2c2cc(O)cc(C(=O)O)c12
64	CCCCC(C)(C)c1ccc(-c2cc(O)[nH]c2N)c(C(=O)OC)c1	CCCCC(C)(C)c1ccc(-c2cc(O)[nH]c2N)c(C(=O)OC)c1
65	CCc1ccc2ccc(C(=O)N(C(=O)CC(=O)O)C(=O)NC(C)=O)c(C(=O)O)c2c1	CCc1ccc2ccc(C(=O)N(C(=O)CC(=O)O)C(=O)NC(C)=O)c(C(=O)O)c2c1
74	CC(C)(C)c1c(N)nc(O)c2c(O)c3oc4c(O)cc(O)cc4c3cc12	CC(C)(C)c1c(N)nc(O)c2c(O)c3oc4c(O)cc(O)cc4c3cc12
75	CC(C)(C)c1cc[nH]c1C(=O)Nc1ccc(O)cc1	CC(C)(C)c1cc[nH]c1C(=O)Nc1ccc(O)cc1
79	COCc1ccc2ccc3c(c2c1-c1cc(C)c(OC)c(C(=O)O)c1)CC=C(OC)C3	COCc1ccc2ccc3c(c2c1-c1cc(C)c(OC)c(C(=O)O)c1)CC=C(OC)C3
80	O=C(O)CC(=O)NS(=O)(=O)CC(=O)OC(=O)Nc1ccccc1O	O=C(O)CC(=O)NS(=O)(=O)CC(=O)OC(=O)Nc1ccccc1O
81	COc1nc2c3c(ccc(C=O)c3c1-c1ccc3sccc3c1)CC=C2	COc1nc2c3c(ccc(C=O)c3c1-c1ccc3sccc3c1)CC=C2
82	NS(=O)(=O)OCc1c(Cl)cc(C(=O)O)cc1CCC(=O)O	NS(=O)(=O)OCc1c(Cl)cc(C(=O)O)cc1CCC(=O)O
83	CC(=O)Nc1c(F)ccc2c(C(=O)O)c(C(=O)NC(N)=O)cc(C(C)(C)C(=O)O)c12	CC(=O)Nc1c(F)ccc2c(C(=O)O)c(C(=O)NC(N)=O)cc(C(C)(C)C(=O)O)c12
87	CCNc1ccnc(Cc2cccc(C(=O)O)c2)c1	CCNc1ccnc(Cc2cccc(C(=O)O)c2)c1
88	Cc1cc(O)cc(C(=O)OC(=O)CCc2cccc3cc(O)cc(C)c23)c1	Cc1cc(O)cc(C(=O)OC(=O)CCc2cccc3cc(O)cc(C)c23)c1
90	CNC(O)=CCC(C(=O)O)=C(NS(C)(=O)=O)C(=CNC(=O)c1ccc2c(F)cc(OC)cc2c1)OC	CNC(O)=CCC(C(=O)O)=C(NS(C)(=O)=O)C(=CNC(=O)c1ccc2c(F)cc(OC)cc2c1)OC
94	CCCOc1cc(C(=O)O)c2c(OC)cc(Cl)c(O)c2c1C(=O)NC(=O)c1ccc(C)[nH]1	CCCOc1cc(C(=O)O)c2c(OC)cc(Cl)c(O)c2c1C(=O)NC(=O)c1ccc(C)[nH]1
95	O=C(O)c1ccc(O)c(OCCCCO)c1S(=O)(=O)c1ccccc1	O=C(O)c1ccc(O)c(OCCCCO)c1S(=O)(=O)c1ccccc1
96	O=C(OCc1ccc(Cl)cc1Cl)c1cc2c(O)cc(O)cc2cc1O	O=C(OCc1ccc(Cl)cc1Cl)c1cc2c(O)cc(O)cc2cc1O
100	CCCc1cc2c(C(=O)O)c(CCO)c(Cn3ccc(Cl)c3)cc2c(O)c1O	CCCc1cc2c(C(=O)O)c(CCO)c(Cn3ccc(Cl)c3)cc2c(O)c1O
101	O=C(C=C(O)Nc1ccncc1)Oc1c[nH]c2c1CCCC2	O=C(C=C(O)Nc1ccncc1)Oc1c[nH]c2c1CCCC2
104	CCCc1ccc2oc3cc(O)c4ccc(CC(=O)O)cc4c3c2c1CC(=O)O	CCCc1ccc2oc3cc(O)c4ccc(CC(=O)O)cc4c3c2c1CC(=O)O
108	CCc1cccc(Oc2c(C(=O)C(=CCC#N)[N+](=O)[O-])cc(O)nc2O)c1	CCc1cccc(Oc2c(C(=O)C(=CCC#N)[N+](=O)[O-])cc(O)nc2O)c1
115	Cc1cc(N(CCO)c2cccc(C)c2O)ccc1CCO	Cc1cc(N(CCO)c2cccc(C)c2O)ccc1CCO
116	Cc1c(-n2cc(Cl)cc2C)[nH]c2c(-c3ccccc3C(=O)O)c(C(=O)O)ccc12	Cc1c(-n2cc(Cl)cc2C)[nH]c2c(-c3ccccc3C(=O)O)c(C(=O)O)ccc12
121	CCCCc1ccc2[nH]c(NC(=O)c3ccccc3C(=O)O)c(-c3c[nH]nc3CO)n12	CCCCc1ccc2[nH]c(NC(=O)c3ccccc3C(=O)O)c(-c3c[nH]nc3CO)n12
123	C=CNc1cc(Cl)cc(Cc2cc(-c3cccc(CCC(=O)O)c3)ncc2O)c1F	C=CNc1cc(Cl)cc(Cc2cc(-c3cccc(CCC(=O)O)c3)ncc2O)c1F
124	O=C(O)c1ccc2cc3ccc(O)cc3c(S(=O)(=O)O)c2c1	O=C(O)c1ccc2cc3ccc(O)cc3c(S(=O)(=O)O)c2c1
127	Cc1c(-c2ccc3cc4cc(C(=O)O)ccc4cc3c2)c2c(O)cccc2n1C	Cc1c(-c2ccc3cc4cc(C(=O)O)ccc4cc3c2)c2c(O)cccc2n1C
128	Fc1ccc(Cl)c2ccc(-c3c(Cl)cc(Cl)cc3Cl)cc12	Fc1ccc(Cl)c2ccc(-c3c(Cl)cc(Cl)cc3Cl)cc12
131	CNC(=O)c1cc(C(=O)CCS(=O)(=O)O)cc2c(C(=O)O)cnc(O)c12	CNC(=O)c1cc(C(=O)CCS(=O)(=O)O)cc2c(C(=O)O)cnc(O)c12
136	CCCC(=O)OC(=O)c1c(OC)c(CCC(=O)O)c(C(=O)O)c(O)c1N(C)C=O	CCCC(=O)OC(=O)c1c(OC)c(CCC(=O)O)c(C(=O)O)c(O)c1N(C)C=O
138	CC(=O)OC(=O)CC(=O)c1ccc(-c2ccccc2)s1	CC(=O)OC(=O)CC(=O)c1ccc(-c2ccccc2)s1
141	O=C(O)CC(=O)c1cc(O)cc(O)c1C(=O)NC(=O)CC(=O)NO	O=C(O)CC(=O)c1cc(O)cc(O)c1C(=O)NC(=O)CC(=O)NO
144	COC(=O)NCc1ccccc1Oc1ccccc1C	COC(=O)NCc1ccccc1Oc1ccccc1C
147	CCCCCCOCCc1cccc(C(=O)O)c1CCOC	CCCCCCOCCc1cccc(C(=O)O)c1CCOC
150	CC(C)(C(=O)O)c1c[nH]c2ccc3cc(CCC(=O)O)c(O)c(-c4ccc(C#N)[nH]4)c3c12	CC(C)(C(=O)O)c1c[nH]c2ccc3cc(CCC(=O)O)c(O)c(-c4ccc(C#N)[nH]4)c3c12
152	CCNc1ccc(-c2cc(C(=O)O)c3c(CC=O)cc(O)cc3c2)c(F)c1	CCNc1ccc(-c2cc(C(=O)O)c3c(CC=O)cc(O)cc3c2)c(F)c1
158	CCOc1cc(F)ccc1C(=O)NC(=O)c1c(Cl)cc(O)c2ccccc12	CCOc1cc(F)ccc1C(=O)NC(=O)c1c(Cl)cc(O)c2ccccc12
168	COc1cc2oc3cc4c(F)cc(Oc5cc(F)cnc5OC)cc4cc3c2cc1O	COc1cc2oc3cc4c(F)cc(Oc5cc(F)cnc5OC)cc4cc3c2cc1O
171	COc1ccc(Oc2c(OC)ccc3c(C)c4c(O)ccc(O)c4cc23)cc1	COc1ccc(Oc2c(OC)ccc3c(C)c4c(O)ccc(O)c4cc23)cc1
173	O=CNc1ccc(O)c2c(NS(=O)(=O)O)c(O)c3[nH]c(C(=O)O)cc3c12	O=CNc1ccc(O)c2c(NS(=O)(=O)O)c(O)c3[nH]c(C(=O)O)cc3c12
174	COc1cc(OC)c2c(Cl)ccc(CCC(=O)O)c2c1	COc1cc(OC)c2c(Cl)ccc(CCC(=O)O)c2c1
176	CCC(=CCOCC(=O)NCC(=O)O)C(O)=C(Cl)c1ccccc1	CCC(=CCOCC(=O)NCC(=O)O)C(O)=C(Cl)c1ccccc1
177	NC(=O)CCc1cc(O)cc2ccc(CC(=O)O)c(C(=O)O)c12	NC(=O)CCc1cc(O)cc2ccc(CC(=O)O)c(C(=O)O)c12
178	CCc1ccc2c(C)c3c(-c4c(C)ccc5cocc45)c(Cl)ccc3cc2c1	CCc1ccc2c(C)c3c(-c4c(C)ccc5cocc45)c(Cl)ccc3cc2c1
180	CCCC(=O)OC(=O)NC(=O)c1cc2cc(OC)c3c(Cl)cccc3c2cc1OC	CCCC(=O)OC(=O)NC(=O)c1cc2cc(OC)c3c(Cl)cccc3c2cc1OC
181	Cc1ccc2c(O)c(C)n(-c3ccccc3C)c2c1	Cc1ccc2c(O)c(C)n(-c3ccccc3C)c2c1
182	O=C(O)CCC(=O)CC(=O)NC(=O)c1ccccc1	O=C(O)CCC(=O)CC(=O)NC(=O)c1ccccc1
196	CCC(C)(C)c1cc2cc(CCC(=O)O)[nH]c2c(O)c1-c1ccc2c(c1)C(=O)C=C(C(=O)O)C2=O	CCC(C)(C)c1cc2cc(CCC(=O)O)[nH]c2c(O)c1-c1ccc2c(c1)C(=O)C=C(C(=O)O)C2=O
198	CCCCOC(=O)c1c2c(cc3[nH]c4c(I)cc5c(Cl)cccc5c4c13)CC=C(C)C2	CCCCOC(=O)c1c2c(cc3[nH]c4c(I)cc5c(Cl)cccc5c4c13)CC=C(C)C2
199	Cc1ccc(-c2cc(C(=O)O)c(-c3c(O)cccc3CCC(=O)O)c3oc4ccccc4c23)o1	Cc1ccc(-c2cc(C(=O)O)c(-c3c(O)cccc3CCC(=O)O)c3oc4ccccc4c23)o1
200	Cc1oc2c(c1C(=O)O)Cc1cc(C(=O)O)ccc1C2	Cc1oc2c(c1C(=O)O)Cc1cc(C(=O)O)ccc1C2
212	Cc1cc2c(cc1Cl)cc(O)c1c3c(nc(O)c12)CCCC3	Cc1cc2c(cc1Cl)cc(O)c1c3c(nc(O)c12)CCCC3
218	Cc1cccc2c(S(=O)(=O)C3=CC(=O)C(C(=O)NS(C)(=O)=O)=CC3=O)c(O)ccc12	Cc1cccc2c(S(=O)(=O)C3=CC(=O)C(C(=O)NS(C)(=O)=O)=CC3=O)c(O)ccc12
221	O=C(c1ccccc1O)c1cccc2[nH]c(S(=O)(=O)O)cc12	O=C(c1ccccc1O)c1cccc2[nH]c(S(=O)(=O)O)cc12
223	COCC(F)(F)c1cc(C(=Cc2cc3c(CO)cccc3o2)CO)cc2ccccc12	COCC(F)(F)c1cc(C(=Cc2cc3c(CO)cccc3o2)CO)cc2ccccc12
226	O=C(O)c1ccc2oc3cc(O)c(Cl)cc3c2c1	O=C(O)c1ccc2oc3cc(O)c(Cl)cc3c2c1
228	CCc1coc2c(C(=O)NC(=O)CC(=O)O)c3c4c(cccc4c12)C(Cl)=CC3	CCc1coc2c(C(=O)NC(=O)CC(=O)O)c3c4c(cccc4c12)C(Cl)=CC3
231	COC1=C(O)c2[nH]c(C(=O)O)cc2CC1=Cc1ccc2cc(O)ccc2c1	COC1=C(O)c2[nH]c(C(=O)O)cc2CC1=Cc1ccc2cc(O)ccc2c1
238	CCC(O)=NC(=O)c1cc(C(=O)OC(C)=O)c(OC)cc1CCc1ccccc1	CCC(O)=NC(=O)c1cc(C(=O)OC(C)=O)c(OC)cc1CCc1ccccc1
239	Cc1c(CN(CCC(=O)O)C(=O)c2ccoc2)cccc1-c1ccccc1O	Cc1c(CN(CCC(=O)O)C(=O)c2ccoc2)cccc1-c1ccccc1O
240	Cc1ncc(-c2cccc(F)c2)n1Cc1c(O)cc(C(=O)O)c(O)c1C(=O)O	Cc1ncc(-c2cccc(F)c2)n1Cc1c(O)cc(C(=O)O)c(O)c1C(=O)O
241	CCc1ccc2c(NCO)ccc3c2c1CC(O)=C3	CCc1ccc2c(NCO)ccc3c2c1CC(O)=C3
244	CC(C)(C)c1ccc2cc(-c3cccc(O)c3)cc(F)c2c1	CC(C)(C)c1ccc2cc(-c3cccc(O)c3)cc(F)c2c1
245	COCCCCOc1cc2cccc(OC)c2cc1OC	COCCCCOc1cc2cccc(OC)c2cc1OC
246	Oc1ccc2ccc(-c3cccs3)c(-n3cccc3O)c2c1	Oc1ccc2ccc(-c3cccs3)c(-n3cccc3O)c2c1
247	COc1ccc(-c2cc(C(C(=O)O)C(=O)O)c(OC)cc2O)cc1	COc1ccc(-c2cc(C(C(=O)O)C(=O)O)c(OC)cc2O)cc1
248	O=CNC(=O)c1cc2ccc(C(=O)O)cc2s1	O=CNC(=O)c1cc2ccc(C(=O)O)cc2s1
251	CC(O)=Nc1cnc(C)c2cc(O)cc(C(=O)NC#N)c12	CC(O)=Nc1cnc(C)c2cc(O)cc(C(=O)NC#N)c12
252	CNc1cccc2c1c(C(=O)O)cc1c3cc(-c4ccccc4)oc3cc(OC)c21	CNc1cccc2c1c(C(=O)O)cc1c3cc(-c4ccccc4)oc3cc(OC)c21
253	CCCC(=O)NC(C(=CCC(=O)O)C(=O)CC(N)=O)=C(C)c1cc[nH]c1	CCCC(=O)NC(C(=CCC(=O)O)C(=O)CC(N)=O)=C(C)c1cc[nH]c1
256	COc1nc2ccc(Cl)c(C(=O)O)c2c(OCC(=O)O)c1C(C)(C)C	COc1nc2ccc(Cl)c(C(=O)O)c2c(OCC(=O)O)c1C(C)(C)C
260	Cn1cccc1C(=O)NC(=O)Cc1ccc2cc3ccccc3cc2c1	Cn1cccc1C(=O)NC(=O)Cc1ccc2cc3ccccc3cc2c1
262	CCOC(=O)C1=CC(=O)C=C(NC(=O)Cc2cccc(OCC(N)=O)c2OC)C1=O	CCOC(=O)C1=CC(=O)C=C(NC(=O)Cc2cccc(OCC(N)=O)c2OC)C1=O
264	CCCc1c(Sc2cc(F)cc(OCC(=O)O)c2)cnc(O)c1C(=O)O	CCCc1c(Sc2cc(F)cc(OCC(=O)O)c2)cnc(O)c1C(=O)O
269	O=C(O)c1ccc2sc(C3=C(Cl)Cc4cccc5cccc3c45)cc2c1O	O=C(O)c1ccc2sc(C3=C(Cl)Cc4cccc5cccc3c45)cc2c1O
270	COc1cc2cc(-c3ccc(C(=O)O)c(C(=O)O)c3)c(C(=O)O)c(O)c2c2c(O)c(O)[nH]c12	COc1cc2cc(-c3ccc(C(=O)O)c(C(=O)O)c3)c(C(=O)O)c(O)c2c2c(O)c(O)[nH]c12
271	CC(=O)OC(=O)c1ccc(C(=O)OC(=O)NCC#N)c(C)c1	CC(=O)OC(=O)c1ccc(C(=O)OC(=O)NCC#N)c(C)c1
283	CCc1cc(O)c2cc(F)c(CC(=O)O)c(O)c2c1	CCc1cc(O)c2cc(F)c(CC(=O)O)c(O)c2c1
285	Cc1c(O)ccc(C(=O)NC(=O)c2cc3ccc(O)cc3cc2O)c1C	Cc1c(O)ccc(C(=O)NC(=O)c2cc3ccc(O)cc3cc2O)c1C
287	NCC(=O)NC(O)=NC(=O)c1cc(OC(=O)c2ccc[nH]2)ccc1O	NCC(=O)NC(O)=NC(=O)c1cc(OC(=O)c2ccc[nH]2)ccc1O
288	C=Cc1cccc2c(OCCCCC)c3ccccc3c(CC(=O)O)c12	C=Cc1cccc2c(OCCCCC)c3ccccc3c(CC(=O)O)c12
295	CCOc1ccc(O)c(-c2c(C=O)c(CO)n(-c3ccccc3OCc3ccccc3)c2C)c1	CCOc1ccc(O)c(-c2c(C=O)c(CO)n(-c3ccccc3OCc3ccccc3)c2C)c1
297	COC(=O)NC(=O)CCCc1cc2c(C(=O)O)c(Cl)ccc2o1	COC(=O)NC(=O)CCCc1cc2c(C(=O)O)c(Cl)ccc2o1
298	COc1cc(-c2ccc(NS(=O)(=O)O)c(Br)c2)c2ccc(C(=O)C(=O)O)cc2c1Cl	COc1cc(-c2ccc(NS(=O)(=O)O)c(Br)c2)c2ccc(C(=O)C(=O)O)cc2c1Cl
299	COc1c(C(C)C)c2c3c(cc(C)cc3c1O)CC=C2OCC(C)(C)O	COc1c(C(C)C)c2c3c(cc(C)cc3c1O)CC=C2OCC(C)(C)O
302	O=C(O)Nc1ccc(O)c(CNC(=O)C=C(O)Nc2ccc(I)cc2Cl)c1O	O=C(O)Nc1ccc(O)c(CNC(=O)C=C(O)Nc2ccc(I)cc2Cl)c1O
303	CCCCOc1c(O)nc(CC)c2c(NC(=O)Nc3c(Cl)sc4ccccc34)ccc(O)c12	CCCCOc1c(O)nc(CC)c2c(NC(=O)Nc3c(Cl)sc4ccccc34)ccc(O)c12
309	COc1cc2ccccc2c(O)c1CCCCC(=O)O	COc1cc2ccccc2c(O)c1CCCCC(=O)O
310	CC(C)(Cc1c(N)ccc2nc(CCO)n(-c3ccccn3)c12)c1cccc(O)c1C(=O)O	CC(C)(Cc1c(N)ccc2nc(CCO)n(-c3ccccn3)c12)c1cccc(O)c1C(=O)O
313	CCCCCOC(=O)c1cc(C(=O)c2ccccc2O)c(CC(C)(C)c2ccnc(C)c2)[nH]1	CCCCCOC(=O)c1cc(C(=O)c2ccccc2O)c(CC(C)(C)c2ccnc(C)c2)[nH]1
319	CCCNC(=O)N(C(=O)CCCCNN)C(=O)c1c(OC)cc2cccc(CCC)c2c1O	CCCNC(=O)N(C(=O)CCCCNN)C(=O)c1c(OC)cc2cccc(CCC)c2c1O
320	C=CCc1c(O)cc(Cl)cc1CCOC(=O)CNC	C=CCc1c(O)cc(Cl)cc1CCOC(=O)CNC
321	Cc1sc2c(cc(O)c3c(C(=O)O)cccc32)c1-n1cccc1	Cc1sc2c(cc(O)c3c(C(=O)O)cccc32)c1-n1cccc1
323	Cc1cc(O)cc2ccc(-c3[nH]ccc3O)c(CC(=O)CC(=O)O)c12	Cc1cc(O)cc2ccc(-c3[nH]ccc3O)c(CC(=O)CC(=O)O)c12
324	CCCCCCC(=O)OC(=O)C(Cc1c(O)cccc1Cl)=C(O)NC	CCCCCCC(=O)OC(=O)C(Cc1c(O)cccc1Cl)=C(O)NC
325	CCCC(=O)OCc1cc(O)ccc1-c1cccc(C(N)=O)c1O	CCCC(=O)OCc1cc(O)ccc1-c1cccc(C(N)=O)c1O
326	CCC(=O)Oc1cc(Oc2ccc(C(=O)NO)c(C(=O)O)c2)ccc1C(=O)O	CCC(=O)Oc1cc(Oc2ccc(C(=O)NO)c(C(=O)O)c2)ccc1C(=O)O
332	CCOc1c(OC)ccc(NC(C)(C)C)c1S(C)(=O)=O	CCOc1c(OC)ccc(NC(C)(C)C)c1S(C)(=O)=O
333	CCNC(=O)OC(=O)CCc1ccccc1OC	CCNC(=O)OC(=O)CCc1ccccc1OC
334	Cc1cc(CN)cc2ccc(O)c(Cc3ccccc3)c12	Cc1cc(CN)cc2ccc(O)c(Cc3ccccc3)c12
338	COc1cc2nc(NC(=O)CCc3ccc(O)c(Cl)c3)nc(O)c2cc1Cl	COc1cc2nc(NC(=O)CCc3ccc(O)c(Cl)c3)nc(O)c2cc1Cl
339	CC(=CC(=O)OCc1cc2cc[nH]c2c2c1CC=CC2)CC(O)=CC(=O)O	CC(=CC(=O)OCc1cc2cc[nH]c2c2c1CC=CC2)CC(O)=CC(=O)O
341	CCc1ccc(Cl)c2cc(C(=O)O)cc(-c3n[nH]c4cccc(C(=O)O)c34)c12	CCc1ccc(Cl)c2cc(C(=O)O)cc(-c3n[nH]c4cccc(C(=O)O)c34)c12
342	COc1ccc2cc3c(cc2c1)c(O)c(OC)c1c2sc(C(=O)O)cc2cc(O)c31	COc1ccc2cc3c(cc2c1)c(O)c(OC)c1c2sc(C(=O)O)cc2cc(O)c31
343	N#Cc1c[nH]c2c(O)c(CCC(=O)Nc3nc(O)co3)c3ccc(O)cc3c12	N#Cc1c[nH]c2c(O)c(CCC(=O)Nc3nc(O)co3)c3ccc(O)cc3c12
345	COc1cccc(C(=O)NC(=O)c2c(O)ccc([N+](=O)[O-])c2O)c1O	COc1cccc(C(=O)NC(=O)c2c(O)ccc([N+](=O)[O-])c2O)c1O
346	O=C(O)c1ccc2c(c1)cc(C(=O)O)c1c2c2ccccc2c2[nH]c3c(Cl)ccc(Cl)c3c21	O=C(O)c1ccc2c(c1)cc(C(=O)O)c1c2c2ccccc2c2[nH]c3c(Cl)ccc(Cl)c3c21
347	CCOc1c2ccc(N)cc2c(N)c2cc3cccc(C(=O)O)c3c(O)c12	CCOc1c2ccc(N)cc2c(N)c2cc3cccc(C(=O)O)c3c(O)c12
351	O=C(O)c1cccc2cc3c4c(cccc4c12)CC=C3F	O=C(O)c1cccc2cc3c4c(cccc4c12)CC=C3F
355	COc1ccc2cccc(C(=O)OCc3ccccc3Cl)c2c1	COc1ccc2cccc(C(=O)OCc3ccccc3Cl)c2c1
356	CCOc1ccc(-c2cccc3ccc(C(O)=[NH+][O-])c(O)c23)c2ccccc12	CCOc1ccc(-c2cccc3ccc(C(O)=[NH+][O-])c(O)c23)c2ccccc12
357	COC(=O)C=C(CN)c1[nH]c(C)c(C)c1-c1c[nH]c(O)c1	COC(=O)C=C(CN)c1[nH]c(C)c(C)c1-c1c[nH]c(O)c1
361	O=C(O)c1ccc(-c2cccc3occ(O)c23)cc1	O=C(O)c1ccc(-c2cccc3occ(O)c23)cc1
362	CCc1nc2cc(S(N)(=O)=O)ccc2c(C(=O)O)c1NC(N)=O	CCc1nc2cc(S(N)(=O)=O)ccc2c(C(=O)O)c1NC(N)=O
364	COc1ccc(OC)c(Nc2c(O)c(O)nc3cc(CN)c4c(c23)CC=CC4)c1	COc1ccc(OC)c(Nc2c(O)c(O)nc3cc(CN)c4c(c23)CC=CC4)c1
367	CCCc1cc(N)c2c(CO)c(C(=O)O)cc(CC(=O)O)c2c1	CCCc1cc(N)c2c(CO)c(C(=O)O)cc(CC(=O)O)c2c1
369	Cc1ccccc1Oc1cc(Cl)c(F)c2[nH]nc(C(=O)CCC(=O)Cn3c(Cl)ccc3CC(=O)O)c12	Cc1ccccc1Oc1cc(Cl)c(F)c2[nH]nc(C(=O)CCC(=O)Cn3c(Cl)ccc3CC(=O)O)c12
371	Cc1cc(Cl)cc(-c2cccc(C(=O)NC(=O)CC(=O)O)c2)c1	Cc1cc(Cl)cc(-c2cccc(C(=O)NC(=O)CC(=O)O)c2)c1
376	COc1c(O)cc(C(=O)O)cc1-c1c(C(=O)O)c(O)nc2cccc(O)c12	COc1c(O)cc(C(=O)O)cc1-c1c(C(=O)O)c(O)nc2cccc(O)c12
377	CCCNc1cc(O)c2c(O)nc(O)c3c2c1CC(OC)=C3	CCCNc1cc(O)c2c(O)nc(O)c3c2c1CC(OC)=C3
383	NC(=O)c1c(Cl)cc(O)c(OC(=O)CC(=O)CC(=O)O)c1Cl	NC(=O)c1c(Cl)cc(O)c(OC(=O)CC(=O)CC(=O)O)c1Cl
