SMILES (prior)	SMILES (after) round trip:
46	C=C(Oc1ccc(O)c2c1[C@@H](OCCc1ccc(C)cc1)C=CC2)C(=O)O	C=C(Oc1ccc(O)c2c1C(OCCc1ccc(C)cc1)C=CC2)C(=O)O
47	COC1=CC2=CCc3c(ccc(C(=O)OC(=O)CC(=O)C(=O)O)c3CCC(=O)NC(=N)N)[C@H]2C=C1	COC1=CC2=CCc3c(ccc(C(=O)OC(=O)CC(=O)C(=O)O)c3CCC(=O)NC(=N)N)C2C=C1
48	C/C=C\Cc1c[nH]c(O)c1C(=O)C(=O)[C@H](Cc1ccc(F)cc1F)C(=O)O	CC=CCc1c[nH]c(O)c1C(=O)C(=O)C(Cc1ccc(F)cc1F)C(=O)O
50	CCCC[C@H](O)CNC1=C(COc2ccccc2C(=O)O)C(=COC)CC=C1	CCCCC(O)CNC1=C(COc2ccccc2C(=O)O)C(=COC)CC=C1
51	CCO/C=C(\C(=O)NCCO)[C@@H](Cc1cc(Cc2ccccc2)c(O)cc1Cl)OC	CCOC=C(C(=O)NCCO)C(Cc1cc(Cc2ccccc2)c(O)cc1Cl)OC
53	CCNc1c(CC(C)(C)OP(=O)(O)O)cc2c(c1C)[C@@H](OC)C=CC2	CCNc1c(CC(C)(C)OP(=O)(O)O)cc2c(c1C)C(OC)C=CC2
54	N[C@@H](C(=O)O)C(=O)c1cc2c(cc1C(=O)O)oc1cc(O)c(C(=O)O)cc12	NC(C(=O)O)C(=O)c1cc2c(cc1C(=O)O)oc1cc(O)c(C(=O)O)cc12
58	C=C[C@H](CC(C)(C)O)c1cccc2c(C(=O)O)cccc12	C=CC(CC(C)(C)O)c1cccc2c(C(=O)O)cccc12
61	CCO[C@@H](C)C[C@@H](OC)c1ccc(-c2cc(C(=O)O)[nH]c2O)nc1	CCOC(C)CC(OC)c1ccc(-c2cc(C(=O)O)[nH]c2O)nc1
62	CC(=CN/C=C\C(=O)O)N(C(=O)CCC(=O)O)c1cc[nH]c1	CC(=CNC=CC(=O)O)N(C(=O)CCC(=O)O)c1cc[nH]c1
66	C=CC(=O)OC(=O)Nc1ccnc([C@@H](O)C[C@@H](O)c2cc(F)c(Cl)c(O)c2CC)c1O	C=CC(=O)OC(=O)Nc1ccnc(C(O)CC(O)c2cc(F)c(Cl)c(O)c2CC)c1O
67	CC1=CCc2c3c(c4ccoc4c2[C@@H]1Oc1c(F)c(O)c2ccccc2c1Cl)C=C[C@@H](O)C3	CC1=CCc2c3c(c4ccoc4c2C1Oc1c(F)c(O)c2ccccc2c1Cl)C=CC(O)C3
68	CO[C@@H]1C=C[C@H](C)c2c(C)cc(-c3cccc(C(=O)O)c3)c(C(=O)N[C@@H](C(=O)O)c3ccccc3)c21	COC1C=CC(C)c2c(C)cc(-c3cccc(C(=O)O)c3)c(C(=O)NC(C(=O)O)c3ccccc3)c21
69	O=C(O)c1cc2c([nH]1)CC(c1ccccc1C(=O)O)=C1C(Cl)=CC=C[C@H]12	O=C(O)c1cc2c([nH]1)CC(c1ccccc1C(=O)O)=C1C(Cl)=CC=CC12
70	NS(=O)(=O)c1ccc2cc(C(=O)CC(=O)O)cc(Cl)c2c1COC(=O)C[C@@H](O)c1ccco1	NS(=O)(=O)c1ccc2cc(C(=O)CC(=O)O)cc(Cl)c2c1COC(=O)CC(O)c1ccco1
71	C=C(CC(=O)O)/N=C\Nc1c(C)c(O)c(OC(=O)CC(C)=O)c(C(=O)NC(C)=O)c1Cl	C=C(CC(=O)O)N=CNc1c(C)c(O)c(OC(=O)CC(C)=O)c(C(=O)NC(C)=O)c1Cl
72	O=C(O)C/C=C/C(O)=C1CC(=O)C(C(=O)NCCCC(=O)O)=C(O)C1=O	O=C(O)CC=CC(O)=C1CC(=O)C(C(=O)NCCCC(=O)O)=C(O)C1=O
73	CCc1ccc(O)cc1[C@@H](N)C(=CCc1ccc(C(=O)O)c2ccccc12)C(=O)O	CCc1ccc(O)cc1C(N)C(=CCc1ccc(C(=O)O)c2ccccc12)C(=O)O
76	C[C@H](NCC(=O)O)c1c(O)cccc1[C@H](C#N)CO	CC(NCC(=O)O)c1c(O)cccc1C(C#N)CO
77	C/C=C/[C@@H](CCOc1ccc(O)c2ccccc12)NCC(=O)O	CC=CC(CCOc1ccc(O)c2ccccc12)NCC(=O)O
78	CCOC(=O)c1c(O)ccc(-c2ccccc2)c1[C@@H](N)C(=O)Nc1cc(O)n(C)c1O	CCOC(=O)c1c(O)ccc(-c2ccccc2)c1C(N)C(=O)Nc1cc(O)n(C)c1O
84	CC(=C[C@](C#N)(C(=O)O)c1cc(O)cc(O)c1)C(=O)O	CC(=CC(C#N)(C(=O)O)c1cc(O)cc(O)c1)C(=O)O
85	Cc1ccc(NC(=O)OC(=O)C(=CC(=O)O)/C=C\c2ccccc2CCC(=O)O)cc1	Cc1ccc(NC(=O)OC(=O)C(C=Cc2ccccc2CCC(=O)O)=CC(=O)O)cc1
86	COCCCC(=O)CN[C@@H](/C=C\C(C)=CC(=O)O)C(=O)O	COCCCC(=O)CNC(C=CC(C)=CC(=O)O)C(=O)O
89	C[C@H](Nc1cc2[nH]c(O)cc2c2c1CC=CC2)[C@H](F)CCC=O	CC(Nc1cc2[nH]c(O)cc2c2c1CC=CC2)C(F)CCC=O
91	CCc1cc(Cl)ccc1C(=CC(=O)NNS(=O)(=O)O)/N=C(\O)Nc1ccc(OC)c(C)c1	CCc1cc(Cl)ccc1C(=CC(=O)NNS(=O)(=O)O)N=C(O)Nc1ccc(OC)c(C)c1
92	C=CCc1c(N)ccc2cc(C(=O)O)cc([C@@H](CC(=O)O)c3cccc(C(C)(C)O)c3)c12	C=CCc1c(N)ccc2cc(C(=O)O)cc(C(CC(=O)O)c3cccc(C(C)(C)O)c3)c12
93	CCC[C@@H](O)CCC(=O)OC(=O)c1cc(CC)cc(C(F)=Cc2cc(O)c[nH]2)c1	CCCC(O)CCC(=O)OC(=O)c1cc(CC)cc(C(F)=Cc2cc(O)c[nH]2)c1
97	CCO/C=C(/C[C@H](C(=O)O)C1=CCc2ccc(O)cc2C1)C(=O)O	CCOC=C(CC(C(=O)O)C1=CCc2ccc(O)cc2C1)C(=O)O
98	COc1cccc2cc(C/C=C\[C@@H](O)[C@@H](O)CC(=O)O)ccc12	COc1cccc2cc(CC=CC(O)C(O)CC(=O)O)ccc12
99	CCCc1nnc([C@H](C(O)=NOC(=O)c2ccc(OC)cc2)n2c(O)ccc2CC)o1	CCCc1nnc(C(C(O)=NOC(=O)c2ccc(OC)cc2)n2c(O)ccc2CC)o1
102	O=CNC1=CC(=O)c2cc(C(=O)O)ccc2[C@@H]1F	O=CNC1=CC(=O)c2cc(C(=O)O)ccc2C1F
103	CC[C@@H](c1cccnc1O)[C@H](CCCC#N)CCNC	CCC(c1cccnc1O)C(CCCC#N)CCNC
105	C/C=C/CNCC(=O)OC(=O)/C=C(\Nc1cccc(C[n+]2cc[nH]c2)c1Cl)[C@@H](N)C(=O)CC(=O)O	CC=CCNCC(=O)OC(=O)C=C(Nc1cccc(C[n+]2cc[nH]c2)c1Cl)C(N)C(=O)CC(=O)O
106	COc1cc(-c2occ3c2CC(C(=O)O)=C[C@H]3OC)cc2c1c(O)cc1cc(O)ccc12	COc1cc(-c2occ3c2CC(C(=O)O)=CC3OC)cc2c1c(O)cc1cc(O)ccc12
107	CCCOC(=O)N[C@H]1C=CCc2cc(/C=[N+](/[O-])c3ccccc3OCC)cc(CCO)c21	CCCOC(=O)NC1C=CCc2cc(C=[N+]([O-])c3ccccc3OCC)cc(CCO)c21
109	CC=C(C(=O)O)[C@H](/C=C\CNC(=NO)NC(=O)CC)c1cccc(O)c1	CC=C(C(=O)O)C(C=CCNC(=NO)NC(=O)CC)c1cccc(O)c1
110	COC(=O)[C@H](C(=O)O)c1ccc2c(C(=O)O)nc(O)c(C(=O)O)c2c1C(=O)O	COC(=O)C(C(=O)O)c1ccc2c(C(=O)O)nc(O)c(C(=O)O)c2c1C(=O)O
111	CCCC[C@H](O)CC(=O)OC(=O)Cc1ccc(C(=O)O)cc1	CCCCC(O)CC(=O)OC(=O)Cc1ccc(C(=O)O)cc1
112	CC[C@@H](C)C[C@@H](NC(=O)[C@H](OC)C(C)C)C(=O)O	CCC(C)CC(NC(=O)C(OC)C(C)C)C(=O)O
113	C/C=C(\Cc1cccc(O)c1C)c1ccc(C(=O)O)c(COC)c1	CC=C(Cc1cccc(O)c1C)c1ccc(C(=O)O)c(COC)c1
114	C/C=C(\Cc1cc(C(=O)NC(=O)C(C(=O)O)C(=O)O)ccc1OC)C(=O)O	CC=C(Cc1cc(C(=O)NC(=O)C(C(=O)O)C(=O)O)ccc1OC)C(=O)O
117	Cc1cc([C@H](C#N)c2ccc(CC(=O)O)c3cc(O)ccc23)cc2ccc(N(C)C)c(C(=O)O)c12	Cc1cc(C(C#N)c2ccc(CC(=O)O)c3cc(O)ccc23)cc2ccc(N(C)C)c(C(=O)O)c12
118	CC1=CC2=C(C)Cc3cc(C(=O)O)cc(O)c3[C@H]2C(C(=O)O)=C1	CC1=CC2=C(C)Cc3cc(C(=O)O)cc(O)c3C2C(C(=O)O)=C1
119	NC(=O)NC(=O)[C@@H](C(=O)O)c1c(Cc2c3ccccc3cc3ccccc23)ccc2c1COC2	NC(=O)NC(=O)C(C(=O)O)c1c(Cc2c3ccccc3cc3ccccc23)ccc2c1COC2
120	C=C[C@@](O)(CCOc1cc(CC(=O)O)c2c(c1)Cc1ccccc1C2)c1ccccc1	C=CC(O)(CCOc1cc(CC(=O)O)c2c(c1)Cc1ccccc1C2)c1ccccc1
122	Cn1c(O)cc2cc([C@@H]3[C@H](O)CC[C@@H](O)[C@H]3C#N)cc(O)c21	Cn1c(O)cc2cc(C3C(O)CCC(O)C3C#N)cc(O)c21
125	COc1cc2ccc(C(C)(C)C)cc2c(CC(=O)[C@@H](N)S(N)(=O)=O)c1S(C)(=O)=O	COc1cc2ccc(C(C)(C)C)cc2c(CC(=O)C(N)S(N)(=O)=O)c1S(C)(=O)=O
126	CC(=N)Nc1cc(-c2[nH]c(O)c3c2[C@H](F)c2c(cc(O)c4cc(C)ccc24)C3=O)ccc1C(=O)O	CC(=N)Nc1cc(-c2[nH]c(O)c3c2C(F)c2c(cc(O)c4cc(C)ccc24)C3=O)ccc1C(=O)O
129	COc1ccc2c3c(cc(C(C)C)c(OC)c13)C(CO)=C[C@@H]2n1cccc1O	COc1ccc2c3c(cc(C(C)C)c(OC)c13)C(CO)=CC2n1cccc1O
130	COCC(=O)c1ccc2c(-c3cccnc3CO)c3c(c(C)c2c1)[C@@H](C(=O)O)C=CC3	COCC(=O)c1ccc2c(-c3cccnc3CO)c3c(c(C)c2c1)C(C(=O)O)C=CC3
132	Cc1cccc(N(C)[C@H]2C(O)=C[C@H](O)c3ccccc32)c1	Cc1cccc(N(C)C2C(O)=CC(O)c3ccccc32)c1
133	CC/C=C/Cc1c2cc(O)ccc2c(OC)c2ccc(C(=Cc3ccc[nH]3)C(=O)O)cc12	CCC=CCc1c2cc(O)ccc2c(OC)c2ccc(C(=Cc3ccc[nH]3)C(=O)O)cc12
134	C/C=C(/C(C)=O)[C@@H](c1ccc(Cl)c(NC(=O)CC(=O)O)c1)[C@H](O)CC(=O)O	CC=C(C(C)=O)C(c1ccc(Cl)c(NC(=O)CC(=O)O)c1)C(O)CC(=O)O
135	C=c1ccc(C(=O)O)cc1=C(O)C(C=C(C[C@@H](C)CN)C(=O)O)=C1C=C(C)[C@@H](O)C(=O)C1	C=c1ccc(C(=O)O)cc1=C(O)C(C=C(CC(C)CN)C(=O)O)=C1C=C(C)C(O)C(=O)C1
137	CCC[C@@H](O)c1c(C(=O)O)c(O)cc2oc(CC)cc12	CCCC(O)c1c(C(=O)O)c(O)cc2oc(CC)cc12
139	CCCCOc1c([C@@H](C)O)c(CC)c(CC(=O)O)c2c(O)cc(C(=O)O)cc12	CCCCOc1c(C(C)O)c(CC)c(CC(=O)O)c2c(O)cc(C(=O)O)cc12
140	C[C@@H]1C(OCC(=O)O)=C(CC(=O)O)Cc2c1cccc2[N+](=O)[O-]	CC1C(OCC(=O)O)=C(CC(=O)O)Cc2c1cccc2[N+](=O)[O-]
142	Cn1cc([C@]2(O)C=CCC[C@H]2O)c2c(CO)c(O)[nH]c21	Cn1cc(C2(O)C=CCCC2O)c2c(CO)c(O)[nH]c21
143	C/C=C(\Cc1ccc(CC(=O)O)c2c1[C@H](O)C=C[C@H]2OC)C(=O)O	CC=C(Cc1ccc(CC(=O)O)c2c1C(O)C=CC2OC)C(=O)O
145	COC(=O)c1cc(/C=C(/O)c2cnccn2)cc(C(=O)O)c1	COC(=O)c1cc(C=C(O)c2cnccn2)cc(C(=O)O)c1
146	CCCC[C@@](O)(CC)C(=C/C=C\c1ccccc1)CCC(=O)O	CCCCC(O)(CC)C(=CC=Cc1ccccc1)CCC(=O)O
148	C/C=[N+](/[O-])[C@H](O)c1ccc2c(c1)[C@H]1CC=CCC1=C(O)[C@H]2C[C@@H](N)O	CC=[N+]([O-])C(O)c1ccc2c(c1)C1CC=CCC1=C(O)C2CC(N)O
149	CC1=C2C(Cl)=CC=C(F)[C@@H]2c2cc(CC(=O)O)ccc2C1	CC1=C2C(Cl)=CC=C(F)C2c2cc(CC(=O)O)ccc2C1
151	C=C(/C=C(/O)c1ccc(C)cc1)CCC(=O)OC(=O)c1c(O)c(CC)cc2c1CC=CC2	C=C(C=C(O)c1ccc(C)cc1)CCC(=O)OC(=O)c1c(O)c(CC)cc2c1CC=CC2
153	CCCCOC1=C[C@@H](c2cccc(C(=O)O)c2)[C@H](CCCC)C(O)=C1C(=O)O	CCCCOC1=CC(c2cccc(C(=O)O)c2)C(CCCC)C(O)=C1C(=O)O
154	C=CC[C@@H](N)CCNCc1ccc(CC(=O)O)c(OC)c1	C=CCC(N)CCNCc1ccc(CC(=O)O)c(OC)c1
155	CC(=Cc1cccc(O)n1)/C=C/C(=O)N[C@H]1C=CCc2c(C)c(O)nc(O)c21	CC(C=CC(=O)NC1C=CCc2c(C)c(O)nc(O)c21)=Cc1cccc(O)n1
156	Oc1cc([C@H](O)/C=C2/C=CC=CC2)c2ccccc2c1	Oc1cc(C(O)C=C2C=CC=CC2)c2ccccc2c1
157	C=C(O)NC(=O)[C@](O)(C(=O)O)c1c(O)cc(CCC(=O)O)cc1C(=O)O	C=C(O)NC(=O)C(O)(C(=O)O)c1c(O)cc(CCC(=O)O)cc1C(=O)O
159	Cc1ccc(-c2cccc(C(=O)O)c2)c2c1Cc1ccccc1[C@@H]2c1cccc2cscc12	Cc1ccc(-c2cccc(C(=O)O)c2)c2c1Cc1ccccc1C2c1cccc2cscc12
160	O=C(O)CCc1c(O)c(C(=O)O)cc(CC(=O)O)c1[C@H]1C=CC=C2CCCC=C21	O=C(O)CCc1c(O)c(C(=O)O)cc(CC(=O)O)c1C1C=CC=C2CCCC=C21
161	CCC(=O)Nc1c(O)c(O)cc(C(C)(C)C)c1C(=O)N(/C=C1/C=CC=C(C(=O)O)C1=O)CC(C)C	CCC(=O)Nc1c(O)c(O)cc(C(C)(C)C)c1C(=O)N(C=C1C=CC=C(C(=O)O)C1=O)CC(C)C
162	CCO/N=C(/C=C\C(C)=CC(=O)O)C(=O)OC(C)=O	CCON=C(C=CC(C)=CC(=O)O)C(=O)OC(C)=O
163	COc1cc(C(=O)C/C=C(O)\N=C2\CC(=O)C=CC2=O)c2c(C)c(C(C)C)c(Br)cc2c1	COc1cc(C(=O)CC=C(O)N=C2CC(=O)C=CC2=O)c2c(C)c(C(C)C)c(Br)cc2c1
164	CCCCOC[C@@H](OC)c1nc(N)c2c(O)cc(O)c(OCCC(C)C)c2c1CC	CCCCOCC(OC)c1nc(N)c2c(O)cc(O)c(OCCC(C)C)c2c1CC
165	CC(/C=C\c1ccc(Oc2ccccc2CC(=O)O)cc1)=C\C(C)(C)C	CC(C=Cc1ccc(Oc2ccccc2CC(=O)O)cc1)=CC(C)(C)C
166	CC[C@@H](/N=C/N)c1c(Cl)cc2c(c1C/N=C/O)CC=C[C@H]2C	CCC(N=CN)c1c(Cl)cc2c(c1CN=CO)CC=CC2C
167	CCc1cc2ccc3c(c2c(CC(=O)CC(=O)NC(=O)CC(=O)O)c1CC)[C@H](O)C=C[C@@H]3C	CCc1cc2ccc3c(c2c(CC(=O)CC(=O)NC(=O)CC(=O)O)c1CC)C(O)C=CC3C
169	CCc1cc([C@H](O)C(=O)Nc2cccc(C3CCCCC3)c2CC)co1	CCc1cc(C(O)C(=O)Nc2cccc(C3CCCCC3)c2CC)co1
170	CCCCOC(=O)c1cccc([C@](Cc2cc(C)ccc2Cl)(C(=O)O)[C@@H](O)CCC#N)c1OC	CCCCOC(=O)c1cccc(C(Cc2cc(C)ccc2Cl)(C(=O)O)C(O)CCC#N)c1OC
172	COc1cc2c(N)c3cc4c(c(C)c3cc2c(-c2ccccc2)c1CO)[C@H]1CCCCC1=CC4	COc1cc2c(N)c3cc4c(c(C)c3cc2c(-c2ccccc2)c1CO)C1CCCCC1=CC4
175	CNc1[nH]c2ccc([C@H](C)C(C)C)cc2c1[C@@H]1C=C(OC)C=CC1	CNc1[nH]c2ccc(C(C)C(C)C)cc2c1C1C=C(OC)C=CC1
179	O=C(O)/C=C/C(=Cc1cccc(Cl)c1)C(=O)OCCC(=O)NO	O=C(O)C=CC(=Cc1cccc(Cl)c1)C(=O)OCCC(=O)NO
183	COC1=C2[C@@H](c3ncncc3[C@H]1O)[C@@H](C(C)(C)C)C=C[C@H]2COc1ccccc1C(=O)O	COC1=C2C(COc3ccccc3C(=O)O)C=CC(C(C)(C)C)C2c2ncncc2C1O
184	N[C@@H](Cc1cc(F)c2oc3ccc4occc4c3c2c1)C(=O)O	NC(Cc1cc(F)c2oc3ccc4occc4c3c2c1)C(=O)O
185	CCCC[C@](O)(c1cc(O)c2ncc(O)cc2c1)c1cc(O)cc(Cl)n1	CCCCC(O)(c1cc(O)c2ncc(O)cc2c1)c1cc(O)cc(Cl)n1
186	CO[C@H]1C[C@@H](O)[C@@H](C[C@@H]2C=C(C(=O)OCCN)C=C(C(=O)O)C2=O)c2c(C)cccc21	COC1CC(O)C(CC2C=C(C(=O)OCCN)C=C(C(=O)O)C2=O)c2c(C)cccc21
187	O=Cc1cc2[nH]ccc2c(Br)c1[C@H](CC(=O)c1cc(O)cc(O)c1C(=O)NCC(=O)NO)C(=O)O	O=Cc1cc2[nH]ccc2c(Br)c1C(CC(=O)c1cc(O)cc(O)c1C(=O)NCC(=O)NO)C(=O)O
188	CC/C=C(\C(=O)O)C(=C[C@@H](/C=C(\C)OC)c1cc(C=O)ccc1O)OC	CCC=C(C(=O)O)C(=CC(C=C(C)OC)c1cc(C=O)ccc1O)OC
189	CCC[C@](O)(CCCCC(=O)O)CCc1cc[nH]c1CC	CCCC(O)(CCCCC(=O)O)CCc1cc[nH]c1CC
190	O=C(O)/C=C/C=C(O)CCC(=O)OC(=O)c1c(O)cccc1CCC(=O)O	O=C(O)C=CC=C(O)CCC(=O)OC(=O)c1c(O)cccc1CCC(=O)O
191	Cc1cc(C(=O)O)c2c(c1O)[C@@H](C)c1cc3c(cc1[C@H]2O)[C@H](CC(C)C)C=C(O)N3	Cc1cc(C(=O)O)c2c(c1O)C(C)c1cc3c(cc1C2O)C(CC(C)C)C=C(O)N3
192	COC1=C[C@@H](c2cccc(O)c2)c2cccc(C(=O)O)c2C1	COC1=CC(c2cccc(O)c2)c2cccc(C(=O)O)c2C1
193	CCCc1cc(Br)cn1[C@H](CC)COCCc1ccccc1C(=O)O	CCCc1cc(Br)cn1C(CC)COCCc1ccccc1C(=O)O
194	NC(=O)OCCc1cc2c(O)cc(C(=O)O)cc2cc1CC[C@@](O)(CCO)CCC(=O)O	NC(=O)OCCc1cc2c(O)cc(C(=O)O)cc2cc1CCC(O)(CCO)CCC(=O)O
195	CCCOC(=O)[C@H](C#N)c1cccc2c1ccc1ccc(O)cc12	CCCOC(=O)C(C#N)c1cccc2c1ccc1ccc(O)cc12
197	COC(=O)Cc1c(O)c(O)c2c3c(c(O)ccc13)C(C/C(=C/[C@H](NC(C)=O)C(=O)O)C(=O)O)=C[C@@H]2O	COC(=O)Cc1c(O)c(O)c2c3c(c(O)ccc13)C(CC(=CC(NC(C)=O)C(=O)O)C(=O)O)=CC2O
201	O=C1C=CC(=O)C(NS(=O)(=O)[C@@H](O)CNc2ccccc2O)=C1	O=C1C=CC(=O)C(NS(=O)(=O)C(O)CNc2ccccc2O)=C1
202	O=C(O)C(=Cc1cccc(O)c1[C@@H](O)Nc1cccc(O)c1)CC[C@H](O)C(=O)O	O=C(O)C(=Cc1cccc(O)c1C(O)Nc1cccc(O)c1)CCC(O)C(=O)O
203	NC1=N[C@@H](O)c2cc([C@@H]3C=CC=CC3=C(F)Cn3cnc(O)c3)ccc2N1	NC1=NC(O)c2cc(C3C=CC=CC3=C(F)Cn3cnc(O)c3)ccc2N1
204	CN[C@@H](C)c1cc(O)nc(O)c1-c1[nH]c(C(O)=Cc2ccc(C(=O)O)[nH]2)cc1O	CNC(C)c1cc(O)nc(O)c1-c1[nH]c(C(O)=Cc2ccc(C(=O)O)[nH]2)cc1O
205	COc1ccc(C)c2nc(O)c3c(c12)CC=C1C=CC=C(N(C#N)/C=C\C(=O)O)[C@@H]13	COc1ccc(C)c2nc(O)c3c(c12)CC=C1C=CC=C(N(C#N)C=CC(=O)O)C13
206	CCc1ccc([C@H](O)CCC(=O)O)c(NC(=O)NC)c1OCC(=O)N(C)C(=O)NC	CCc1ccc(C(O)CCC(=O)O)c(NC(=O)NC)c1OCC(=O)N(C)C(=O)NC
207	Cc1ccc(O)cc1OC[C@H]1C=C(O)c2c3cc(Cl)sc3c(O)c3c(C(=O)O)c(Cl)cc1c23	Cc1ccc(O)cc1OCC1C=C(O)c2c3cc(Cl)sc3c(O)c3c(C(=O)O)c(Cl)cc1c23
208	C[C@@H](O)CCCCOc1c(C(=O)O)ccc(C(=O)O)c1OC[C@H](O)c1cccc(Cl)c1	CC(O)CCCCOc1c(C(=O)O)ccc(C(=O)O)c1OCC(O)c1cccc(Cl)c1
